name,given_name,title,country,description,gender
Kucera,Vladimir,M.,Czechoslovakia,Chief of the Cabinet of the Minister for Foreign Affairs,male
Nosek,Vladimir,M.,Czechoslovakia,Counsellor at the Ministry for Foreign Affairs,male
Radimsky,Ladislav,M.,Czechoslovakia,Ministry for Foreign Affairs,male
Havlas,Viktor,M.,Czechoslovakia,Ministry of Commerce,male
Kose,Jaroslav,M.,Czechoslovakia,Head of Department at the Ministry for Agriculture,male
Stangler,Alois,M.,Czechoslovakia,Departmental Adviser at the Ministry for Foreign Affairs,male
,Tevfik Rüştü,"S. E., Bey",Turkey,"Minister for Foreign Affairs, President of the delegation",male
,Celal,"S. E., Bey",Turkey,Minister for Economic Affairs; Vice-President of the delegation,male
,Münir,"S. E., Bey",Turkey,Ambassador in London,male
,Falih Rifki,Bey,Turkey,Member of the Great National Assembly for Bolu (Adviser),male
,Adil,Bey,Turkey,Under-Secretary of State at the Ministry of Customs and Monopolies (Adviser),male
,Salahattin,Bey,Turkey,Director-General of the Central Bank (Adviser),male
,Namik Zeki,Bey,Turkey,Financial Adviser to the Central Bank (Adviser),male
,Cezmi,Bey,Turkey,Director-General at the Ministry of Finance (Adviser),male
,Bedi,Bey,Turkey,Director-General at the Ministry for Foreign Affairs (Adviser),male
,Sami,Bey,Turkey,Chief Inspector at the Commercial Bank of Turkey (Adviser),male
Amir,Refik,Bey,Turkey,"Consul-General, Head of the Cabinet of the Minister for Foreign Affairs (Adviser)",male
Faik Kurtoglu,,Bey,Turkey,Commercial Attaché at the Turkish Embassy in London (Adviser),male
,Halit Nazmi,Bey,Turkey,Inspector of Finance (Adviser),male
,Huldi,Bey,Turkey,Commercial Bank of Turkey (Adviser),male
,Süleyman Hikmet,Bey,Turkey,Central Bank (Adviser),male
,Riza Halis,Bey,Turkey,Deputy Director of the Agricultural Bank (Adviser),male
,Muvaffak,Bey,Turkey,General Manager of the 'Anatolia' Agency (Delegate),male
,Izzettin Tugrul,Bey,Turkey,"Consul, Secretary to the delegation",male
Muvaffak,Nermin,Mlle,Turkey,Interpreter,male
Litvinov,Maxim,M.,USSR,"People’s Commissar for Foreign Affairs, President of the delegation",male
Meijak,Valérie,M.,USSR,Vice-President of the Commission for the State plan,male
Maisky,Jean,M.,USSR,Ambassador in London,male
Ozerski,Alexandre,M.,USSR,Deputy Commissary for Foreign Trade,male
Divlikovsky,Ivan,M.,USSR,Secretary-General of the delegation,male
Cahen,,M.,USSR,Expert,male
Rosenblum,Boris,M.,USSR,Expert,male
Gurevich,A.,M.,USSR,Expert,male
Simonoff,Y. G.,M.,USSR,Expert,male
Kissin,Abraham,M.,USSR,Expert,male
Kharitonov,Michel,M.,USSR,Expert,male
Litvinov,Vy,Mme,USSR,Secretary to the delegation,male
Tolokonski,Leonid,M.,USSR,In charge of Press matters,male
Cosio,Pedro,S. E. M.,Uruguay,"Envoy Extraordinary and Minister Plenipotentiary in London, appointed Minister of Finance",male
Guani,Alberto,S. E. M.,Uruguay,Envoy Extraordinary and Minister Plenipotentiary in Paris,male
Urubey,Alberto,M.,Uruguay,Substitute delegate,male
MacEachen,Roberto,Dr.,Uruguay,"Counsellor of Legation, London",male
Madlener,Godofredo,M.,Uruguay,Financial Attaché to the Uruguayan Legation in London,male
Rey-Alvarez,Gustavo,M.,Uruguay,"Secretary of Legation, London",male
Ali Mohamed,Khan,S. E.,Afghanistan,"Minister of Commerce, Chief of the delegation",male
Ahmed Ali,Sirdar,S. E.,Afghanistan,"Afghan Minister to the Court of St. James, Minister Plenipotentiary in Great Britain",male
Haidar,Khan,Mohamed,Afghanistan,First Secretary of the Royal Afghan Legation in London; Secretary to the delegation,male
Smuts,Jan Christiaan,"General the Right Honourable, P.C., C.H., K.C., D.T.D.",Union of South Africa,"Minister of Justice, Delegate",male
Havenga,Nicolaas Christiaan,The Honourable,Union of South Africa,"Minister of Finance, Delegate",male
Pirow,Oswald,"The Honourable, K.C.",Union of South Africa,"Minister of Railways and Harbours and of Defence, Delegate",male
de Water,C. T.,Mr.,Union of South Africa,"High Commissioner for the Union of South Africa in London, Delegate",male
Postmus,J.,Mr.,Union of South Africa,"Governor, Reserve Bank (Official Adviser)",male
Ryneveld,Pierre,Sir,Union of South Africa,"Chief of the General Staff, Union Defence Force (Official Adviser)",male
Heddon,J. D.,Mr.,Union of South Africa,Commissioner of Customs (Official Adviser),male
Holloway,E. J.,Dr.,Union of South Africa,Director of Census (Official Adviser),male
Dewar,H. J.,Mr.,Union of South Africa,of the Treasury (Official Adviser),male
Schoch,A. A.,Dr.,Union of South Africa,Legal Adviser (Official Adviser),male
Arndt,,Dr.,Union of South Africa,Professor at the University of Pretoria (Official Adviser),male
Leslie,,Professor,Union of South Africa,University of Capetown (Official Adviser),male
Dimond,J. H.,Mr.,Union of South Africa,"Trade Commissioner, London (Official Adviser)",male
Andrews,H. T.,Mr.,Union of South Africa,"Political Secretary to High Commissioner, London (Official Adviser)",male
Pearsall,C. W.,Mr.,Union of South Africa,Department of Census (Official Adviser),male
Saunders,E. G.,Mr.,Union of South Africa,Department of Customs (Official Adviser),male
Martin,John,Mr.,Union of South Africa,Unofficial Adviser,male
King,E. E.,Mr.,Union of South Africa,Unofficial Adviser,male
Hudson,H. M.,Mr.,Union of South Africa,Unofficial Adviser,male
Dormisse,J.,Mr.,Union of South Africa,Unofficial Adviser,male
Blanckenberg,P.,Mr.,Union of South Africa,"Private Secretary, Ministry of Justice (Personal Staff)",male
Jooste,G. P.,Mr.,Union of South Africa,"Private Secretary, Ministry of Finance (Personal Staff); also Secretary to the Delegation",male
Hofmeyer,S. J.,Mr.,Union of South Africa,"Private Secretary, Ministry of Railways (Personal Staff)",male
Naudé,W. C.,Mr.,Union of South Africa,Private Secretary to High Commissioner (Personal Staff),male
Spies,M.,Mr.,Union of South Africa,Assistant Private Secretary to Minister of Finance (Personal Staff); Assistant Private Secretary to Delegation,male
Richardson,,Miss,Union of South Africa,Personal Secretary to Minister of Justice (Personal Staff),female
Aslani,Fuad,M.,Albania,Chargé d’Affaires in London (Delegate),male
Crinpwell,Edwin,M.,Albania,Consul-General in London (Delegate),male
von Neurath,Constantin,Dr.,Germany,"Minister for Foreign Affairs, Chief of the delegation",male
Voelckers,Hans H.,Dr.,Germany,"Consul-General, Head of the Cabinet of the Minister for Foreign Affairs (Personal Staff)",male
Siegfried,Herbert,Dr.,Germany,Attaché to the Minister for Foreign Affairs (Personal Staff),male
von Krosigk,Ludwig Graf Schwerin,Count,Germany,Minister of Finance (Delegate),male
Hugenberg,Alfred,Dr.,Germany,Minister of Public Economy and Minister of Agriculture (Delegate),male
Vogelsang,,M.,Germany,Special Assistant to the Minister of Public Economy (Delegate),male
Krogman,Carl Vincent,Mr.,Germany,Lord Mayor and President of the Government of the Free and Hanseatic City of Hamburg (Delegate),male
von Hoesch,Leopold,Dr.,Germany,German Ambassador in London (Delegate),male
Schacht,Hjalmar,Dr.,Germany,President of the Reichsbank (Delegate),male
Keppler,Wilhelm,M.,Germany,Member of the Reichstag (Delegate),male
Ritter,,Dr.,Germany,Director at the Ministry for Foreign Affairs,male
Aschmann,,M.,Germany,Assistant Director at the Ministry for Foreign Affairs,male
Baer,,Dr.,Germany,Counsellor of Legation at the Ministry for Foreign Affairs,male
Berger,,Dr.,Germany,Acting Director at the Ministry of Finance,male
Sarnow,,M.,Germany,Chief of Division at the Ministry of Finance,male
Bang,Paul,Dr.,Germany,Secretary of State at the Ministry of Public Economy,male
Posse,,Dr.,Germany,Director at the Ministry of Public Economy,male
Walter,,M.,Germany,Chief of Division at the Ministry of Agriculture,male
Vocke,,Dr.,Germany,Member of the Governing Board of the Reichsbank,male
Nordhoff,,Dr.,Germany,Director at the Reichsbank,male
Elsner von Gronow,,M.,Germany,Assistant Chief of Division in the Ministry of Public Information,male
Hanfstangel,,Dr.,Germany,Ministry of Public Information,male
Imhoff,,Dr.,Germany,"Chief of Division in the Ministry of Public Economy, Secretary of the delegation",male
von Bismarck,Otto,"Freiherr, Dr.",Germany,First Secretary to the German Embassy in London,male
Süsskind,,Freiherr von,Germany,Secretariat,male
Le Breton,Tomas A.,S. E. M.,Argentina,"Head of the delegation, Former Minister of Agriculture, Ambassador of the Argentine Republic in France",male
Malbrán,Manuel E.,S. E. M.,Argentina,Ambassador of the Argentine Republic in Great Britain,male
Becu,Teodoro,M.,Argentina,"Member of the Honorary Commission for the National Sales Tax, Legal Adviser of Banco de la Provincia de Buenos Aires",male
Hugo,Ernesto,M.,Argentina,"Former Minister of Finance of the Government of the Province of Buenos Aires, Member of the Faculty of Economic Sciences",male
Prebisch,Raúl,M.,Argentina,"Former Under-Secretary of State for Finance, National Bank of Argentina",male
Brebbia,Carlos,M.,Argentina,"Commercial Counsellor of the Argentine Embassy in Rome, Member of the International Institute of Agriculture, Rome",male
Fernandez Beyro,Anibal,M.,Argentina,Agricultural Counsellor of the Argentine Embassy in London,male
Scilingo,Adolfo,M.,Argentina,Secretary,male
Wahba,Hafiz,Sheik,Saudi Arabia,Envoy Extraordinary and Minister Plenipotentiary in London,male
Zada,Mahmood Riyad,,Saudi Arabia,First Secretary to the Saudi Arabian Legation in London,male
Bruce,S. M.,"The Right Honourable, C.H., M.C., M.P.",Australia,"Australian Minister in London, Delegate",male
Sheehan,H. J.,Mr.,Australia,Secretary to the Commonwealth Treasury (Principal Financial Adviser),male
McDougall,F. L.,Mr.,Australia,Economic Adviser to the Australian Government in London,male
Melville,L. G.,Professor,Australia,Economic Adviser to the Commonwealth Bank of Australia,male
Copland,D. B.,Professor,Australia,"University of Melbourne, Melbourne University",male
Shedden,F. G.,Mr.,Australia,"Assistant on External Affairs to the Australian Minister in London, Acting Secretary to the delegation",male
Dollfuss,Engelbert,Dr.,Austria,Federal Chancellor,male
Ruresch,Karl,Dr.,Austria,Federal Minister of Finance,male
Schumy,Vinzenz,Ingénieur,Austria,Federal Minister,male
Stockinger,Friedrich,M.,Austria,Federal Minister for Trade and Communications,male
Kienbock,Victor,Dr.,Austria,Chairman of the National Bank of Austria,male
Schüller,Richard,Dr.,Austria,Minister Plenipotentiary,male
Franckenstein,Georg,M.,Austria,Envoy Extraordinary and Minister Plenipotentiary in Great Britain,male
Rizzi,Hans,Dr.,Austria,Counsellor at the Federal Ministry for Finance (Substitute Delegate),male
Straubinger,Karl,Dr.,Austria,Counsellor at the Federal Ministry of Agriculture (Substitute Delegate),male
Roller,Robert,Dr.,Austria,Counsellor at the Federal Ministry for Trade (Substitute Delegate),male
Wimmer,Lothar,Dr.,Austria,Counsellor of Legation (Secretary of the Delegation),male
Attems,Max,Dr.,Austria,Secretary of Legation,male
Schwarzenberg,Johannes,Dr.,Austria,Attaché,male
Hymans,Paul,S. E. M.,Belgium,"Minister for Foreign Affairs, Minister of State, Member of the Chambre des Représentants",male
Jaspar,,S. E. M.,Belgium,"Minister of Finance, Minister of State, Former Prime Minister, Member of the Chambre des Représentants",male
Francqui,Emile,S. E. M.,Belgium,"Minister of State, Governor of the Société Générale de Belgique",male
van Langenhove,,M.,Belgium,Secretary-General to the Ministry for Foreign Affairs (Substitute Delegate),male
Gutt,,M.,Belgium,Financial Expert (Substitute Delegate),male
Suetens,,M.,Belgium,Director of Commercial Agreements at the Ministry for Foreign Affairs (Expert),male
Smeers,L.,M.,Belgium,Secretary of the Cabinet of the Minister of Finance (Expert),male
Squelin,,M.,Belgium,Secretary to M. Francqui (Expert),male
Janson,,M.,Belgium,Financial Expert,male
Kronacher,Paul,M.,Belgium,Expert,male
van Orshoven,H.,M.,Belgium,Head of the Office of the Minister of Agriculture and Middle Classes,male
Gerard,G. L.,M.,Belgium,Director-General of the Belgian Central Industrial Commission,male
Beyens,Antoine,Le Baron,Belgium,Attaché of Legation (Secretary),male
Aramayo,Carlos Victor,S. E. M.,Bolivia,"Chairman of the delegation, Envoy Extraordinary and Minister Plenipotentiary in London",male
Martinez Vargas,Ricardo,M.,Bolivia,"Former Minister of Finance, Member of Parliament",male
Urriolagoitia H.,Mamerto,M.,Bolivia,"Counsellor of Legation, Head of the Secretariat of the delegation",male
Martinez Vargas,Juan J.,M.,Bolivia,Secretary of the Delegation,male
Crespo Gutierrez,Alberto,M.,Bolivia,Secretary of the Delegation,male
de Assis Brasil,F. J.,S. E. M.,Brazil,"Ambassador in Buenos Aires, former Minister of Agriculture",male
de Oliveira,Raul Regis,S. E. M.,Brazil,"Ambassador to the Court of St. James, former Under-Secretary of State for Foreign Affairs",male
Nascimento Silva,Joaquin Eulalio,M.,Brazil,Director of the Commercial Department at the Ministry for Foreign Affairs,male
de Oliveira,Numa,M.,Brazil,Former Secretary of Finance of the State of Sao Paulo; Director of Banco Commercio e Industria in Sao Paulo,male
Weinschenk,Oscar,M.,Brazil,Director of the Harbour Department of the Ministry of Transport and Public Works; Chairman of the Customs Tariff Committee,male
Freire de Carvalho,H.,M.,Brazil,Director of Companhia Paulista de Estradas de Ferro,male
Nabuco de Araujo,José Thomaz,M.,Brazil,Legal Expert,male
Bouças,Valentim,M.,Brazil,Technical Secretary of the Economic and Financial Committee of Enquiry of the States and Communes of Brazil; Manager of IBM Brazil,male
Barboza Carneiro,J. A.,M.,Brazil,Commercial Attaché to the Brazilian Embassy in London; Member of the International Institute of Statistics; Corresponding Member of the Economic Committee of the League of Nations,male
Paes,Acyr,M.,Brazil,First Secretary of Embassy; Secretary-General of the Delegation,male
Silveira,Pericles,M.,Brazil,Secretary-General to H.E. de Assis Brasil,male
MacDonald,J. Ramsay,"The Right Honourable, M.P.",United Kingdom,Prime Minister and First Lord of the Treasury,male
Barlow,J. A. N.,Mr.,United Kingdom,"Private Secretary, C.B., C.B.E.",male
Vincent,H. G.,Mr.,United Kingdom,"Private Secretary, C.V.O.",male
Hankey,M. P. A.,Colonel Sir,United Kingdom,Secretary to the Cabinet and to the Committee of Imperial Defence,male
Glyn,R. G. C.,Major,United Kingdom,"Personal Assistant, M.C., M.P.",male
Steward,G. F.,Mr.,United Kingdom,"Personal Assistant, C.B.E.",male
Joyce,A. H.,Mr.,United Kingdom,Personal Assistant,male
Chamberlain,Neville,"The Right Honourable, M.P.",United Kingdom,"Chancellor of the Exchequer, Leader of the Delegation",male
Fergusson,J. D. B.,Mr.,United Kingdom,Private Secretary,male
Hore-Belisha,L.,Mr.,United Kingdom,"Personal Assistant, M.P.",male
Gunston,D. W.,Captain,United Kingdom,"Personal Assistant, M.C., M.P.",male
Hailsham,,The Viscount,United Kingdom,Secretary of State for War,male
Burghley,,Lord,United Kingdom,"Personal Assistant, M.P.",male
Graham,A.,Captain,United Kingdom,Personal Assistant,male
Simon,John,Sir,United Kingdom,"Secretary of State for Foreign Affairs, G.C.S.I., K.C.V.O., O.B.E., K.C., M.P.",male
Seymour,H. J.,Mr.,United Kingdom,"Private Secretary, C.M.G.",male
Hopkinson,H. L. D’A.,Mr.,United Kingdom,Private Secretary,male
Granville,E.,Mr.,United Kingdom,"Personal Assistant, M.P.",male
Thomas,J. H.,"The Right Honourable, M.P.",United Kingdom,Secretary of State for Dominion Affairs,male
Syers,C. G. L.,Mr.,United Kingdom,Private Secretary,male
MacDonald,Malcolm,Mr.,United Kingdom,"Personal Assistant, M.P.",male
Thomas,J. P. L.,Mr.,United Kingdom,"Personal Assistant, M.P.",male
Cunliffe-Lister,Philip,Sir,United Kingdom,"Secretary of State for the Colonies, G.B.E., M.C., M.P.",male
Boyd,E. B.,Mr.,United Kingdom,Private Secretary,male
Dugdale,T. L.,Captain,United Kingdom,"Personal Assistant, M.P.",male
Runciman,Walter,"The Right Honourable, M.P.",United Kingdom,President of the Board of Trade,male
Brown,W. B.,Mr.,United Kingdom,"Private Secretary, C.B.E.",male
Telmore,J. R. C.,Mr.,United Kingdom,Private Secretary,male
Colville,J.,Lieut.-Colonel,United Kingdom,"Personal Assistant, M.P.",male
Burgin,E. L.,Dr.,United Kingdom,"Personal Assistant, M.P.",male
Brown,E.,Mr.,United Kingdom,"Personal Assistant, M.C., M.P.",male
Peto,G.,Mr.,United Kingdom,"Personal Assistant, C.B.E., M.P.",male
Elliot,Walter E.,"Major The Right Honourable, M.C., M.P.",United Kingdom,Minister of Agriculture and Fisheries,male
Vandepeer,D. E.,Mr.,United Kingdom,Private Secretary,male
De La Warr,,Earl,United Kingdom,Personal Assistant,male
Muirhead,A. J.,Lieut.-Colonel,United Kingdom,"Personal Assistant, M.C., M.P.",male
Ormsby-Gore,W. G.,"The Right Honourable, M.P.",United Kingdom,"First Commissioner of Works, in charge of Hospitality Arrangements",male
Barker,R. A.,Mr.,United Kingdom,Private Secretary,male
Crankshaw,E. N. S.,Major,United Kingdom,"Secretary to the Government Hospitality Fund, M.B.E.",male
Beharrell,G.,Sir,United Kingdom,"Industrial Adviser, representing Federation of British Industries",male
Anderson,A.,Sir,United Kingdom,"Industrial Adviser, Bt., K.B.E., representing British Chambers of Commerce",male
Hill,N.,Sir,United Kingdom,"Industrial Adviser, Bt., representing Chamber of Shipping",male
Newton,D.,Sir,United Kingdom,"Industrial Adviser, K.B.E., M.P. (Agriculture)",male
Walkden,A. G.,Mr.,United Kingdom,"Industrial Adviser, Trades Union Congress General Council",male
Citrine,W. M.,Mr.,United Kingdom,"Industrial Adviser, Trades Union Congress General Council",male
Davson,E.,Sir,United Kingdom,"Adviser on Trade and Commerce of the Colonial Empire, Bt.",male
Leith-Ross,F. W.,Sir,United Kingdom,"Chief Economic Adviser to H.M. Government, K.C.B., K.C.M.G.",male
Cracknell,N. F. E.,Miss,United Kingdom,"Private Secretary, M.B.E.",female
Philips,F.,Sir,United Kingdom,"Treasury, Under-Secretary, K.C.M.G., C.B.",male
Waterfield,A. P.,Mr.,United Kingdom,"Treasury, Principal Assistant Secretary, C.B.",male
Hawtrey,R. G.,Mr.,United Kingdom,"Treasury, Assistant Secretary",male
Rowe-Dutton,E.,Mr.,United Kingdom,"Treasury, Principal, C.M.G.",male
Brittain,H.,Mr.,United Kingdom,"Treasury, Principal",male
Ismay,G.,Mr.,United Kingdom,"Treasury, Principal",male
Kershaw,R. N.,Mr.,United Kingdom,Treasury,male
Henderson,H. D.,Mr.,United Kingdom,"Economic Advisory Council, Joint Secretary",male
Ashton-Gwatkin,F. T. A.,Mr.,United Kingdom,"Foreign Office, First Secretary, C.M.G.",male
Wilson-Young,I. A. D.,Mr.,United Kingdom,"Foreign Office, Third Secretary",male
Whiskard,G. G.,Sir,United Kingdom,"Dominions Office, Assistant Under-Secretary of State, K.C.M.G., C.B.",male
Holmes,S. L.,Mr.,United Kingdom,"Dominions Office, Principal, M.C.",male
Clauson,G. L. M.,Mr.,United Kingdom,"Colonial Office, Principal, C.M.G., O.B.E.",male
Caine,S.,Mr.,United Kingdom,"Colonial Office, Assistant Principal",male
Hamilton,H. P.,Sir,United Kingdom,"Board of Trade, Permanent Secretary, K.C.B.",male
Wilson,H. J.,Sir,United Kingdom,"Board of Trade, Chief Industrial Adviser, G.C.M.G., K.C.B., C.B.E.",male
Fountain,H.,Sir,United Kingdom,"Board of Trade, Second Secretary, K.C.M.G., C.B.",male
Crowe,E. T. F.,Sir,United Kingdom,"Board of Trade, Comptroller-General, Department of Overseas Trade, K.C.M.G.",male
Faulkner,A. E.,Sir,United Kingdom,"Board of Trade, Under-Secretary for Mines, C.B., C.B.E.",male
Foley,E. J.,Mr.,United Kingdom,"Board of Trade, Under-Secretary, Mercantile Marine Department, C.B.",male
Eddison,E. R.,Mr.,United Kingdom,"Board of Trade, Deputy Comptroller-General, Overseas Trade, C.B., C.M.G.",male
Browett,L.,Mr.,United Kingdom,"Board of Trade, Principal Assistant Secretary, Industries and Manufactures Department, C.B., C.B.E.",male
Cole,H. W.,Mr.,United Kingdom,"Board of Trade, Deputy Under-Secretary for Mines, C.B.E.",male
Wills,J. J.,Mr.,United Kingdom,"Board of Trade, Comptroller, Companies Department, C.B.E.",male
Carlill,H. F.,Mr.,United Kingdom,"Board of Trade, Assistant Secretary, General Department",male
Leak,H.,Mr.,United Kingdom,"Board of Trade, Assistant Secretary, Statistics Department",male
Palmer,W.,Mr.,United Kingdom,"Board of Trade, Assistant Secretary, Industries and Manufactures Department",male
Marker,E. H. S.,Mr.,United Kingdom,"Board of Trade, Principal, Mercantile Marine Department",male
Jenkins,T. G.,Mr.,United Kingdom,"Board of Trade, Principal, Commercial Relations and Treaties Department, M.C.",male
Shackle,R. J.,Mr.,United Kingdom,"Board of Trade, Principal, Commercial Relations and Treaties Department",male
Fennelly,R. D.,Mr.,United Kingdom,"Board of Trade, Principal, Industries and Manufactures Department",male
Howell Thomas,C. J.,Sir,United Kingdom,"Ministry of Agriculture and Fisheries, Permanent Secretary, K.C.B., C.M.G.",male
French,H. L.,Mr.,United Kingdom,"Ministry of Agriculture and Fisheries, Principal Assistant Secretary, C.B., O.B.E.",male
Street,A. W.,Mr.,United Kingdom,"Ministry of Agriculture and Fisheries, Principal Assistant Secretary, C.M.G., C.I.E., M.C.",male
Enfield,R. R.,Mr.,United Kingdom,"Ministry of Agriculture and Fisheries, Economic Investigator",male
Houghton,C. T.,Mr.,United Kingdom,"Ministry of Agriculture and Fisheries, Principal",male
Nathan,C.,Mr.,United Kingdom,"Ministry of Agriculture and Fisheries, Principal",male
Flynn,C. J.,Mr.,United Kingdom,"Board of Customs and Excise, Assistant Secretary, C.M.G.",male
Howorth,R. B.,Sir,United Kingdom,"Deputy Secretary, Cabinet Office, K.C.M.G., C.B.",male
Waley,S. D.,Mr.,United Kingdom,"Treasury, Principal Assistant Secretary, C.B., M.C.",male
Overton,A. E.,Mr.,United Kingdom,"Board of Trade, Assistant Secretary, C.M.G., M.C.",male
Longhurst,C.,Mr.,United Kingdom,"Cabinet Office, Assistant Secretary, C.B.",male
Wilkinson,W. D.,Mr.,United Kingdom,"Cabinet Office, Principal, D.S.O., M.C.",male
Burgis,L. F.,Mr.,United Kingdom,"Private Secretary to Sir Maurice Hankey, Cabinet Office, C.M.G., M.V.O.",male
Malinoff,Alexandre,M.,Bulgaria,"President of the Sobranje, Former Prime Minister",male
Fanta,M.,Mme,Bulgaria,Private Secretary,female
Hadji Mischefi,P.,M.,Bulgaria,Minister Plenipotentiary in Great Britain,male
Stoyanoff,Nicolas,M.,Bulgaria,Director of the Public Debt (Substitute Delegate),male
Tchakaloff,Asséné,M.,Bulgaria,Chief of Section at the National Bank of Bulgaria,male
Bennett,R. B.,"The Right Honourable, K.C., M.P., LL.D.",Canada,Prime Minister of Canada,male
Rhodes,Edgar N.,"The Honourable, K.C., M.P.",Canada,Minister of Finance,male
Ferguson,G. Howard,"The Honourable, K.C., LL.D.",Canada,High Commissioner for Canada in Great Britain,male
Clark,W. C.,Mr.,Canada,Deputy Minister of Finance,male
Wilgress,L. D.,Mr.,Canada,Department of Trade and Commerce,male
Robertson,Norman A.,Mr.,Canada,Department of External Affairs,male
Vanier,G. P.,Lt.-Col.,Canada,"Secretary of the Office of the High Commissioner for Canada in Great Britain, D.S.O., M.C.",male
Finlayson,R. K.,Mr.,Canada,Private Secretary to the Prime Minister,male
Tocornal,Juan Enrique,S. E. M.,Chile,"Ambassador, former Minister of Finance and Foreign Affairs",male
Torres,Pedro A.,M.,Chile,President of the Bank of Chile,male
Urzua,Dario,Professor,Chile,"Professor of Political Economy, former Deputy, Delegate at World Economic Conference 1927",male
Salinas,Manuel,M.,Chile,Minister Counsellor to the Chilean Embassy in London,male
Renard,Luis A.,M.,Chile,First Secretary to the Chilean Embassy in London,male
Videla,Humberto,M.,Chile,Consul in London,male
Bittencourt,Julio,M.,Chile,Commercial Counsellor to the Chilean Embassy in London,male
Claude,Federico,M.,Chile,Adviser,male
