name,given_name,title,country,description,gender
Pereira Y,C. Manuel,Dr.,Chile,Secretary to the Chilean Embassy,male
Serrano,José,Dr.,Chile,Secretary,male
Hillman,Eduardo,M.,Chile,Secretary,male
Tocornal,Juan,M.,Chile,Secretary,male
Soong,T. V.,Dr.,China,Vice-President of the Executive Yuan and Minister of Finance,male
Yen,W. W.,Dr.,China,Ambassador Extraordinary and Plenipotentiary at Moscow,male
Quo,Tai-Chi,M.,China,Envoy Extraordinary and Minister Plenipotentiary in London,male
Koo,V. K. Wellington,Dr.,China,Envoy Extraordinary and Minister Plenipotentiary in Paris,male
Lo,T. Y.,S. E. M.,China,Envoy Extraordinary and Minister Plenipotentiary at Copenhagen (Substitute); later Secretary-General,male
Yee,Pei Tsu,M.,China,Manager of the Bank of China at Shanghai (Substitute Delegate),male
Chen,W. C.,Dr.,China,Counsellor of Embassy (Substitute Delegate),male
Kung,Anching,M.,China,"Consul-General, Deputy Secretary-General",male
name,given_name,title,country,description,male
Pei,Tsu-Yee,M.,China,Technical Delegate; Manager of the Bank of China at Shanghai,male
Liou,Fou-Tcheng,M.,China,Technical Delegate; Member of the Board of Directors of the Sino-French Bank of Industry and Commerce,male
Ching,Y. C.,M.,China,Counsellor at the Ministry of Finance,male
Young,Kuangson,Dr.,China,Consul-General,male
Stephenson,J. W.,M.,China,Customs Commissioner,male
Chen,T. D.,Dr.,China,"Professor of Economics, Tsing-Hua College",male
Wong,S. D.,M.,China,Secretary at the Ministry of Finance,male
Tsai,Z. S.,M.,China,Secretary at the Ministry of Finance,male
Tan,T.,M.,China,Secretary of Legation,male
Lui,Chieh,M.,China,Secretary of Legation,male
Chiu,T. M.,M.,China,Secretary of Legation,male
Wong,Théodore K. P.,M.,China,Secretary of Embassy,male
Lui,Si-Chang,M.,China,Secretary of Embassy,male
Li,T. T.,M.,China,Secretary of Legation,male
Chang,Su-Lee,M.,China,Secretary of Legation,male
Yu,Kien-Wen,M.,China,Secretary of Legation,male
Tien,Fang-cheng,M.,China,Assistant Secretary; Attaché of Legation,male
Loh,Ming-Sin,M.,China,Assistant Secretary; Attaché of Legation,male
Ouei,G.,M.,China,Assistant Secretary; Private Secretary,male
Moh,Chia-Chi,M.,China,Assistant Secretary; Private Secretary,male
Lopez,Alfonso,Dr.,Colombia,Minister of Colombia in London; Chief Delegate,male
Ramos-Urdaneta,Alfredo,M.,Colombia,Secretary,male
Ferrara y Marino,Orestes,Dr.,Cuba,Secretary of State for Foreign Affairs; President of the delegation,male
Cintas,Oscar B.,M.,Cuba,Ambassador Extraordinary and Plenipotentiary to Washington; Delegate,male
Gutierrez,Viriato,Dr.,Cuba,Senator; President of the Cuban Sugar Stabilisation Institute,male
Patterson,Guillermo,Dr.,Cuba,Envoy Extraordinary and Minister Plenipotentiary to the Court of St. James,male
Perez,Luis Marino,M.,Cuba,Commercial Attaché in London; Secretary,male
de Torres,Enrique,Dr.,Cuba,Assistant Secretary,male
Rocca,J.,Dr.,Cuba,Assistant Secretary; Private Secretary to H.E. Dr. Orestes Ferrara y Marino,male
Koc,Adam,M.,Danzig,"Chairman of the delegation; Under-Secretary of State, Polish Ministry of Finance",male
Schæfer,Karl,Dr.,Danzig,President of the Bank of Danzig; Delegate,male
Schoenberg,Walter,M.,Danzig,Former Consul; Delegate,male
Leitreiter,,Dr.,Danzig,Secretary to the delegation,male
Munch,Peter,Dr.,Denmark,Minister for Foreign Affairs; President of the delegation,male
Hauge,C. N.,M.,Denmark,Minister of Commerce and Industry; Delegate,male
Ahlefeldt-Laurvig,P. F.,Count,Denmark,Envoy Extraordinary and Minister Plenipotentiary in London; Delegate,male
Madsen-Mygdal,Th.,M.,Denmark,Former Prime Minister; Deputy; Delegate,male
Krog,,M.,Denmark,Former Minister of Interior; Member of Parliament; Substitute,male
Bramsnaes,C. V.,M.,Denmark,Former Minister for Finance; Manager of the National Bank in Copenhagen; Substitute,male
Andersen,Alsing E.,M.,Denmark,Deputy; Substitute,male
Nielsen,Hans,M.,Denmark,Member of Parliament; Replacement,male
Christmas Møller,J.,M.,Denmark,Deputy; Replacement,male
Hendriksen,Halfdan,M.,Denmark,Member of Parliament; Replacement,male
Frederiksen,Niels,M.,Denmark,Deputy; Replacement,male
Veistrup,,M.,Denmark,Member of Parliament; Replacement,male
Mohr,O. C.,M.,Denmark,"Envoy Extraordinary and Minister Plenipotentiary; Head of Department, MFA; Delegate",male
Waerum,E.,M.,Denmark,"Head of Section, MFA; Delegate",male
Andersen,A. O.,M.,Denmark,Chairman of the Shipping Council; Expert,male
Hartz,G.,M.,Denmark,"Director, Danish Federation of Industries; Expert",male
Hauch,H.,M.,Denmark,Member of the Landsting; Chairman of the Danish Agricultural Council; Expert,male
Laage Petersen,H.,M.,Denmark,Chairman of the Merchants’ Guild of Copenhagen; Expert,male
Rottboll,Chr.,M.,Denmark,Consul General in London; Expert,male
Sorensen,Soren,M.,Denmark,Agricultural Commissioner; Expert,male
Jorgensen,J. C.,M.,Denmark,"Secretary, MFA; Secretary of the delegation",male
Hartogsohn,S.,M.,Denmark,"Secretary, Ministry of Finance; Secretary of the delegation",male
Henriquez-Urena,Max,Dr.,Dominican Republic,Secretary of State for Foreign Affairs; President of the delegation,male
Brache,Rafael,Don,Dominican Republic,Envoy Extraordinary and Minister Plenipotentiary in London; Delegate,male
Afifi Pacha,Hafez,Dr.,Egypt,Envoy Extraordinary and Minister Plenipotentiary in London; Head of the delegation,male
Ahmed Abdel Wahab,Pacha,S. E.,Egypt,"Under-Secretary of State, Ministry of Finance; Delegate",male
Abdel Hamid Badawi,Pacha,S. E.,Egypt,"President, State Disputed Claims Committee; Royal Adviser to the Prime Minister's Office; Delegate",male
Mohamed Talaat Harb,Pacha,S. E.,Egypt,Managing Director of Bank Misr; Delegate,male
Cook,Edward,Sir,Egypt,"Governor, National Bank of Egypt; Delegate",male
Craig,J. I.,M.,Egypt,Ministry of Finance; Expert,male
Harari,R. A.,M.,Egypt,Expert,male
Fahmy,Hussein,M.,Egypt,Secretary,male
el Sebaii,Taha,M.,Egypt,Secretary,male
Selim,Ahmad,M.,Egypt,Secretary,male
Bahgat,Helmi,M.,Egypt,Secretary,male
Khalil,Fahmy,M.,Egypt,Secretary,male
Hafez,Hussein,M.,Egypt,Secretary,male
Dichy,L.,M.,Egypt,Secretary,male
Moncayo Andrade,Abelardo,Don,Ecuador,Director of the Treasury of Ecuador; Delegate,male
Salazar Gomez,Eduardo,Dr.,Ecuador,Financial Counsellor to the Legation of Ecuador in Washington; Delegate,male
Nicolau d’Olwer,Louis,S. E. M.,Spain,Former Minister of National Economy; Deputy; President and first delegate,male
Franco,Gabriel,M.,Spain,Deputy; Delegate,male
Lopez Olivan,Julio,M.,Spain,Minister Plenipotentiary; Delegate,male
Carabias,Julio,M.,Spain,Governor of the Bank of Spain; Delegate,male
Flores de Lemus,A.,M.,Spain,"Professor, University of Madrid; Delegate",male
Rodriguez Mata,Enrique,M.,Spain,Member of the Council for National Economy; Delegate,male
Reventos,Manuel,M.,Spain,Member of the Council for National Economy; Delegate,male
Badia,Carlos,M.,Spain,"Head, Section of Commercial Treaties, Ministry of Agriculture, Industry and Trade; Delegate",male
Pan de Soraluce,José,M.,Spain,"Head, Department of Commercial Products, Ministry of Agriculture, Industry and Trade; Delegate",male
Navarro,Gustavo,M.,Spain,"Chief, Department of Customs Tariff Policy, Ministry of Agriculture, Industry and Trade; Delegate",male
Echevarria,Toribio,M.,Spain,Delegate,male
Yalcarcel,Antonio,M.,Spain,Expert; Member of the Council for National Economy,male
Garcia Olay,Pelayo,M.,Spain,Secretary-General; Minister Plenipotentiary,male
Alvarez Buylla,Adolfo,M.,Spain,First Secretary of Embassy; Secretariat,male
Viturro,Manuel,M.,Spain,Second Secretary of Embassy; Secretariat,male
Kallas,Oskar,Dr.,Estonia,Envoy Extraordinary and Minister Plenipotentiary to HBM; Chief of the delegation,male
Markus,Hans,M.,Estonia,Consul General; Counsellor at the Estonian Legation in London; Delegate,male
Schipai,Alexandre,M.,Estonia,Delegate,male
Raud,Villibald,M.,Estonia,Agricultural Attaché at the Estonian Legation in London; Expert,male
Ojanson,V.,M.,Estonia,Secretary of Legation in London; Secretary to the delegation,male
Hull,Cordell,Hon.,United States,Chairman; Delegate,male
Cox,James M.,Hon.,United States,Vice-Chairman; Delegate,male
Pittman,Key,Senator,United States,Delegate,male
Couzens,James,Senator,United States,Delegate,male
McReynolds,Samuel D.,Hon.,United States,Delegate,male
Morrison,Ralph W.,Hon.,United States,Delegate,male
Bullitt,William C.,Mr.,United States,Executive Officer,male
Warburg,James P.,Mr.,United States,Financial Adviser,male
Nielsen,Fred K.,Mr.,United States,Legal Adviser,male
Feis,Herbert,Mr.,United States,Chief Technical Adviser,male
Chalmers,Henry,Mr.,United States,Technical Adviser,male
Clark,Victor S.,Mr.,United States,Technical Adviser,male
Day,Edmund E.,Mr.,United States,Technical Adviser,male
Delany,Frank J.,Mr.,United States,Technical Adviser,male
Gardner,Walter R.,Mr.,United States,Technical Adviser,male
Haas,George C.,Mr.,United States,Technical Adviser,male
Hawkins,Harry C.,Mr.,United States,Technical Adviser,male
Morgenthau,Henry Sr.,Hon.,United States,Technical Adviser,male
Murphy,Frederic E.,Mr.,United States,Technical Adviser,male
Tugwell,Rexford G.,Mr.,United States,Technical Adviser,male
Wallace,Benjamin B.,Mr.,United States,Technical Adviser,male
Wheeler,Leslie A.,Mr.,United States,Technical Adviser,male
Wilson,James,Mr.,United States,Technical Adviser,male
Atherton,Ray,Mr.,United States,Technical Adviser,male
Wiley,John C.,Mr.,United States,Technical Adviser,male
Dunn,James Clement,Mr.,United States,Secretary,male
Key,David McK.,Mr.,United States,Assistant Secretary,male
Cumming,Hugh S.,Mr.,United States,Assistant to the delegation,male
Bruce,Edward,Mr.,United States,Assistant to the delegation,male
Mengert,H. R.,Mr.,United States,Assistant to the delegation,male
Michelson,Charles,Mr.,United States,Press Officer,male
Thurston,Elliott,Mr.,United States,Press Officer,male
Borum,Neal D.,Mr.,United States,Disbursing Officer,male
Tekla Hawariat,Bajirond,S. E. le,Ethiopia,Envoy Extraordinary and Minister Plenipotentiary; First Delegate,male
Ato Ephrem T.,Medhen,M.,Ethiopia,Chargé d’Affaires in London; Delegate,male
Hackzell,A.,S. E. M.,Finland,Minister for Foreign Affairs; President of the delegation,male
Ryti,Risto,M.,Finland,Governor of the Bank of Finland; First Vice-President of the delegation,male
Gripenberg,G. A.,S. E. M.,Finland,Envoy Extraordinary and Minister Plenipotentiary in London; Second Vice-President of the delegation,male
Procope,Hj. J.,S. E. M.,Finland,Envoy Extraordinary and Minister Plenipotentiary; Former MFA; GM of Finnish Paper Mills’ Association; Third Vice-President,male
Jarvinen,Kyösti,Dr.,Finland,"Professor, Helsinki Commercial High School; Former Minister of Finance and Commerce; Delegate",male
Hynninen,Emil,Dr.,Finland,Minister for Social Affairs; Delegate,male
Jutila,K. T.,Dr.,Finland,Minister of Agriculture; Delegate,male
Fieandt,Rainer,M.,Finland,Bank Manager; Delegate,male
Kalliala,Kaarlo J.,M.,Finland,Bank Manager; Substitute Delegate,male
Collan,K. J. M.,Colonel,Finland,Substitute Delegate,male
Suviranta,Br.,Dr.,Finland,Financial Adviser to the Bank of Finland; Substitute Delegate; Secretary-General,male
Borenius,Tancred,Dr.,Finland,Substitute Delegate,male
Smedslund,Ragnar,M.,Finland,Substitute Delegate,male
Daladier,Edouard,S. E. M.,France,Prime Minister; Minister of War; Delegate,male
Bonnet,Georges,S. E. M.,France,Minister of Finance; Delegate,male
Paul-Boncour,,S. E. M.,France,Minister for Foreign Affairs; Delegate,male
Sarraut,Albert,S. E. M.,France,Minister for the Colonies; Delegate,male
Queille,,S. E. M.,France,Minister of Agriculture; Delegate,male
Serre,,S. E. M.,France,Minister of Commerce; Delegate,male
Frot,,S. E. M.,France,Minister for Merchant Shipping; Delegate,male
Patenôtre,Raymond,S. E. M.,France,Under-Secretary of State for National Economy; Delegate,male
Moret,Clément,M.,France,"Governor, Bank of France; Adviser",male
Rist,Charles,M.,France,"Honorary Assistant Governor, Bank of France; Adviser",male
Farnier,,M.,France,"Assistant Governor, Bank of France; Adviser",male
Lacour Gayet,,M.,France,"Inspector of Finance; Director of Economic Intelligence Service, Bank of France; Adviser",male
Lacout,,M.,France,Adviser (Bank of France),male
Genebrier,,M.,France,"Assistant Head, Office of the Prime Minister",male
Pfeiffer,,M.,France,Prime Minister’s Office,male
de Brinon,,M.,France,Prime Minister’s Office,male
Kayser,Jacques,M.,France,Prime Minister’s Office,male
Parmentier,Jean,M.,France,"Honorary Director-General, Ministry of Finance",male
Escallier,,M.,France,"Director, Mouvement général des Fonds",male
Dayras,,M.,France,"Member, Financial Committee of the League of Nations",male
de Boisanger,,M.,France,Principal Secretary to the Minister for Finance,male
Bizot,J. J.,M.,France,"Assistant Director, Mouvement général des Fonds",male
Rueff,J.,M.,France,Financial Attaché in London,male
Levy,Jérome,M.,France,"Honorary Attaché, Office of the Minister for Finance",male
Robert,Maxime,M.,France,Inspector of Finance,male
Coulondre,Robert,M.,France,"Minister Plenipotentiary; Director, MFA",male
Lyon,Jacques,M.,France,Legal Adviser to the MFA,male
Gazel,Armand,M.,France,Secretary of Embassy,male
Garnier,J. P.,M.,France,Assistant Head of the Office of the Minister for Foreign Affairs,male
Keller,,M.,France,"Director, Ministry for the Colonies",male
Rapenne,,M.,France,Ministry for the Colonies,male
Lesage,,M.,France,"Director, Ministry of Agriculture",male
Gautier,Jules,M.,France,Counsellor of State,male
Planière,Jacques,M.,France,Ministry of Agriculture,male
Bonnefon Craponne,,M.,France,"Director, Ministry of Commerce",male
Serre,René,M.,France,Director of the Office of the Minister for Commerce,male
Lautman,Jules,M.,France,Ministry of Commerce,male
Haarbleicher,,M.,France,"Director, Ministry of Merchant Shipping",male
Gregh,,M.,France,"Principal Secretary, Merchant Shipping Ministry",male
Cahen-Salvador,,M.,France,Counsellor of State (Under-Secretariat of National Economy),male
Devinat,,M.,France,Honorary Attaché to the Under-Secretariat of National Economy,male
Mac Hoschiller,,M.,France,Honorary Attaché to the Under-Secretariat of National Economy,male
Boissard,,M.,France,Inspector of Finance,male
Jouhaux,Léon,M.,France,French delegate to the International Labour Office,male
Ribot,Lambert,M.,France,French delegate to the International Labour Office,male
Picard,,M.,France,Secretary to M. Lambert-Ribot,male
Labonne,Eirik,M.,France,Minister Plenipotentiary; Secretary-General to the delegation,male
Padovani,,M.,France,Secretary of Embassy; Press Service,male
Roussel Le Roy,,M.,France,Consul; MFA,male
Bousquet,Reymond,M.,France,Consul; MFA,male
de la Sablière,,M.,France,Consul of France; MFA,male
Bradier,,M.,France,Ministry for Foreign Affairs,male
Monick,,M.,France,Financial Attaché in New York (MoF; consulted),male
Auboin,,M.,France,Ministry of Finance (consulted),male
Baratier de Rey,,M.,France,Ministry of Finance (consulted),male
Ripert,,M.,France,Assistant Head of the Office of the Minister of Finance (consulted),male
Alphand,Hervé,M.,France,Assistant Head of the Office of the Minister of Finance (consulted),male
Oudiette,,M.,France,Inspector of Finance (consulted),male
Gay,,M.,France,Ministry of Finance (consulted),male
Dubois,,M.,France,Ministry for the Colonies (consulted),male
Billet,,M.,France,Ministry of Agriculture (consulted),male
Colomb,,M.,France,Ministry of Agriculture (consulted),male
Hallé,Pierre,M.,France,Ministry of Agriculture (consulted),male
Roger,,M.,France,Counsellor of State (consulted),male
Achard,,M.,France,Ministry of Agriculture (consulted),male
Sohier,,M.,France,Ministry of Agriculture (consulted),male
Brasart,,M.,France,Ministry of Agriculture (consulted),male
Vimeux,,M.,France,Ministry of Agriculture (consulted),male
Lainel,,M.,France,Ministry of Commerce (consulted),male
Masse,,M.,France,Ministry of Commerce (consulted),male
Wellhoff,,M.,France,Ministry of Merchant Shipping (consulted),male
Marie,,M.,France,"Assistant Director, Ministry of Merchant Shipping (consulted)",male
Léon Fabre,,M.,France,Ministry of Merchant Shipping (consulted),male
Marchegay,,M.,France,Ministry of Merchant Shipping (consulted),male
Cangardel,,M.,France,Ministry of Merchant Shipping (consulted),male
Hequet,,M.,France,Ministry of Merchant Shipping (consulted),male
Claude Lewy,,M.,France,Ministry of Merchant Shipping (consulted),male
Debove,,M.,France,"Assistant Head, Under-Secretariat of National Economy",male
du Pasquier,,M.,France,Under-Secretary in the Department of National Economy,male
Douarche,,M.,France,"Director, International Wine Office",male
Tsaldaris,P.,S. E. M.,Greece,President of the Council of Ministers; Chief of the delegation,male
Maximos,D.,S. E. M.,Greece,Minister for Foreign Affairs; Delegate,male
Loverdos,S.,S. E. M.,Greece,Minister of Finance; Delegate,male
Caclamanos,D.,S. E. M.,Greece,Envoy Extraordinary and Minister Plenipotentiary in London; Delegate,male
Tsouderos,E.,M.,Greece,"Governor, Bank of Greece; Expert",male
Mantzavinos,G.,M.,Greece,Director-General of Public Finance; Expert,male
Drossopoulos,G.,M.,Greece,Director of the Public Debt Department; Expert,male
Exarchakis,T. G.,M.,Greece,"Chief of Section, Ministry of Finance; Expert",male
Finlayson,H.,M.,Greece,Adviser to the Bank of Greece; Expert,male
Andrèades,A.,Prof.,Greece,Expert,male
Charitakis,G.,M.,Greece,Financial Adviser to the Bank of Greece; Expert,male
Nicolaïdis,G.,M.,Greece,Commercial Attaché at the Greek Legation in Paris; Expert,male
Kulukundis,Manuel,M.,Greece,"Secretary-General, London Association of Greek Shipowners; Expert",male
Samarakis,Basil,M.,Greece,Expert,male
Pipinelis,P.,M.,Greece,Secretary-General; Personal Assistant to the MFA,male
Matsas,A.,M.,Greece,Private Secretary to the MFA; Secretary,male
Embiricos,N.,M.,Greece,Private Secretary to the Minister of Finance; Secretary,male
Recinos,Adrian,Dr.,Guatemala,Minister for Guatemala in Washington; Chief of the delegation,male
Figueroa,Francisco A.,Dr.,Guatemala,Consul General and Chargé d’Affaires in London,male
Mayard,Constantin,S. E. M.,Haiti,Envoy Extraordinary and Minister Plenipotentiary in Paris; Delegate,male
Auguste,René Tancrède,M.,Haiti,Minister Resident in London; Delegate,male
Pierre-Audoin,Julio,M.,Haiti,Government Commissioner to the Bank of Haiti; Delegate,male
Kernisan,Clovis,M.,Haiti,Former Minister of Finance; Corresponding Member of the Secretariat of the League of Nations; Delegate,male
de Kánya,Coloman,S. E. M.,Hungary,Minister for Foreign Affairs; Delegate,male
de Imrédy,Béla,S. E. M.,Hungary,Minister of Finance; Delegate,male
Walko,Louis,S. E. M.,Hungary,Former Minister for Foreign Affairs; Delegate,male
de Nickl,Alfred,S. E. M.,Hungary,Envoy Extraordinary and Minister Plenipotentiary; Delegate,male
Ferenczi,Izso,M.,Hungary,"Under-Secretary of State, Ministry of Commerce; Expert",male
de Péchy,Tibor,M.,Hungary,"Ministerial Counsellor, Ministry of Agriculture; Expert",male
de Winchkler,Etienne,M.,Hungary,"Ministerial Counsellor, MFA; Governmental President-Commissioner, Royal Hungarian Board of Foreign Trade; Expert",male
Déak,Francis,M.,Hungary,"Professor of International Law, Columbia University; Expert",male
Judik,Joseph,M.,Hungary,Legal Adviser to the Hungarian National Bank; Expert,male
de Balasy,Antoine,M.,Hungary,Secretary of Legation; Expert,male
Hoare,Samuel,Sir,India,"Delegate (Rt. Hon., Bt., G.B.E., C.M.G., M.P.)",male
Ramaswami Aiyer,C. P.,Sir,India,Delegate (K.C.I.E.),male
Padamji Ginwala,,Sir,India,Delegate,male
Rainy,George,Sir,India,"Delegate (K.C.S.I., K.C.I.E., I.C.S.)",male
Schuster,George,Sir,India,"Delegate (K.C.S.I., K.C.M.G., C.B.E., M.C.)",male
Strakosch,Henry,Sir,India,Delegate (G.B.E.),male
Jehangir,Cowasji,Sir,India,"Delegate (K.C.I.E., O.B.E.)",male
Kisch,Cecil,Sir,India,"Adviser (K.C.I.E., C.B.)",male
Denning,Howard,Sir,India,"Adviser (C.I.E., I.C.S.)",male
Lindsay,H. A. F.,Mr.,India,"Adviser (C.I.E., C.B.E., I.C.S.)",male
Turner,E. J.,Mr.,India,Adviser (C.B.E.),male
Brayne,A. F. L.,Mr.,India,"Secretary (C.I.E., I.C.S.)",male
el-Hashimi,Yassine,Pasha,Iraq,Minister of Finance; Delegate,male
as Said,Nuri,Pasha,Iraq,Minister for Foreign Affairs; Delegate,male
Haidar,Rustambeg,M.,Iraq,Minister of Economies and Communications; Delegate,male
de Valera,Eamon,Mr.,Irish Free State,President of the Executive Council and Minister for External Affairs; Head of the delegation,male
Connolly,Joseph,Senator,Irish Free State,Minister for Lands and Fisheries; Delegate,male
Lemass,Sean,Mr.,Irish Free State,Minister for Industry and Commerce; Delegate,male
MacEntee,Sean,Mr.,Irish Free State,Minister for Finance; Delegate,male
Ryan,James,Dr.,Irish Free State,Minister for Agriculture; Delegate,male
Dulanty,J. W.,Mr.,Irish Free State,High Commissioner in Great Britain; Delegate,male
Brennan,J.,Mr.,Irish Free State,Chairman of the Currency Commission; Substitute Delegate,male
McElligott,J. J.,Mr.,Irish Free State,"Secretary, Department of Finance; Substitute Delegate",male
Moynihan,Sean,Mr.,Irish Free State,Secretary of the Executive Council; Substitute Delegate,male
Leydon,Sean,Mr.,Irish Free State,"Secretary, Department of Industry and Commerce; Substitute Delegate",male
Meyrick,F. J.,Mr.,Irish Free State,"Secretary, Department of Agriculture; Substitute Delegate",male
Murphy,Sean,Mr.,Irish Free State,"Assistant Secretary, Department of External Affairs; Substitute Delegate",male
Kiernan,T. J.,Dr.,Irish Free State,"Secretary, Office of the High Commissioner in Great Britain; Substitute Delegate",male
Smiddy,T. A.,Prof.,Irish Free State,Adviser and Expert,male
Twomey,D.,Mr.,Irish Free State,Member of Tariff Commission; Adviser,male
Bayne,A. W.,Mr.,Irish Free State,Department of Finance; Adviser,male
Cremins,F. T.,Mr.,Irish Free State,"Secretary-General; Head of League of Nations Section, Department of External Affairs",male
Belton,J. A.,Mr.,Irish Free State,Secretary; Department of External Affairs,male
Conway,J.,M.,Irish Free State,Secretary; Department of External Affairs,male
Björnsson,Sveinn,M.,Iceland,Envoy Extraordinary and Minister Plenipotentiary at Copenhagen; Delegate,male
Krubbe,Jon,M.,Iceland,Secretary of Legation; Substitute,male
Jung,Guido,S. E.,Italy,Minister of Finance; Head of the delegation,male
Suvich,Fulvio,S. E.,Italy,"Under-Secretary of State, Ministry for Foreign Affairs; Delegate",male
Asquini,Alberto,S. E. Prof.,Italy,"Under-Secretary of State, Ministry of Corporations; Delegate",male
Beneduce,Alberto,Prof.,Italy,Delegate,male
Pirelli,Alberto,Dr.,Italy,Delegate,male
Ciancarelli,Bonifacio,M.,Italy,Minister Plenipotentiary; Delegate,male
Ciano di Cortellazzo,Galeazzo,Count,Italy,Minister Plenipotentiary; Delegate,male
Ingianni,Giulio,M. le Général,Italy,"Director-General, Mercantile Marine Department, Ministry of Communications; Expert",male
Anzilotti,E.,M.,Italy,"General Director, Ministry of Corporations; Expert",male
Mariani,Mario,M.,Italy,"General Director, Ministry of Agriculture; Expert",male
del Vecchio,Giuseppe,M.,Italy,"Chief of Section, Ministry of Finance; Expert",male
Guarneri,Felice,M.,Italy,"Director-General, Confederation of Industry; Expert",male
Cerutti,Giuseppe,M.,Italy,Confederation of Commerce; Expert,male
Pagani,Fernando,M.,Italy,Confederation of Agriculturists; Expert,male
Dall’oglio,Giuseppe,M.,Italy,"Vice-Director, National Exportation Institute; Expert",male
Nathan,Joe,M.,Italy,Delegate of the Bank of Italy and the National Institute of Exchange; Expert,male
Formentini,Paride,M.,Italy,"Vice-President, Istituto Mobiliare Italiano; Expert",male
Faletti di Villa Falletto,,M.,Italy,Expert,male
Piserchia,G.,M.,Italy,Expert,male
