name,given_name,title,country,description,gender
Rallo,Pietro,M.,Italy,Expert,male
Mascia,Luciano,M.,Italy,First Secretary of Legation; Press Service,male
Paresce,Gabriel,M.,Italy,Press Service,male
Grazzi,Umberto,M.,Italy,First Secretary of Legation; Secretariat,male
Fracassi Ratti Mentone,Cristoforo,Nob.,Italy,Consul; Secretariat,male
Casardi,Aubrey,M.,Italy,Vice-Consul; Secretariat,male
Ortona,Egidio,M.,Italy,Secretariat,male
Pazzaglia,Gino,M.,Italy,Secretariat,male
Secco Soardo,Dino,M.,Italy,Interpreter; Secretariat,male
Agresti,Olivia,Mme,Italy,Interpreter; Secretariat,female
Barbiéri Fullerton,Edith,Mme,Italy,Interpreter-Stenographer; Secretariat,female
Ishii,Kikujiro,S. E. M. Viscount,Japan,Member of the Privy Council; former Minister for Foreign Affairs; Delegate,male
Matsudaira,Tsuneo,S. E. M.,Japan,Ambassador Extraordinary and Minister Plenipotentiary in London; Delegate,male
Fukai,Eigo,M.,Japan,Vice-Governor of the Bank of Japan; Delegate,male
Kadono,Chokuro,M.,Japan,Adviser,male
Tsushima,Juichi,M.,Japan,"Financial Commissioner of the Japanese Government; Financial Attaché of Embassy, London; Deputy Delegate",male
Ito,Nobumi,M.,Japan,"Director a.i., Bureau of Japan to the League of Nations; Counsellor of Embassy; Deputy Delegate",male
Saito,Hirosi,M.,Japan,Envoy Extraordinary and Minister Plenipotentiary to The Hague; Deputy Delegate,male
Kato,Sotomatsu,M.,Japan,Counsellor of Embassy; Secretary-General,male
Matsuyama,Shinjiro,M.,Japan,"Commercial Counsellor of Embassy, London; Expert/Secretary",male
Iida,Kusuo,M.,Japan,"Secretary, Department of Finance; Expert/Secretary",male
Kô,Junichi,M.,Japan,"Chief, Research Department, Bank of Japan; Expert/Secretary",male
Shimasue,Shozo,M.,Japan,"Superintendent, Agency of the Bank of Japan, London; Expert/Secretary",male
Nohara,Daisume,M.,Japan,"Manager, Yokohama Specie Bank, London; Expert/Secretary",male
Saito,Takeo,M.,Japan,"Manager, London Office, Nippon Yusen Kaisha; Expert/Secretary",male
Yokoyama,Masayuki,M.,Japan,"First Secretary of Embassy, Paris; Expert/Secretary",male
Shiozaki,Kanzo,M.,Japan,"First Secretary of Embassy, London; Expert/Secretary",male
Usami,Uzuhiko,M.,Japan,Private Secretary to M. Kadono; Assistant Secretary,male
Nakajima,Shinji,M.,Japan,Private Secretary to M. Kadono; Assistant Secretary,male
Ishizawa,Yutaka,M.,Japan,"Third Secretary of Embassy, London; Assistant Secretary",male
Kubota,Kanichiro,M.,Japan,"Secretary, Department of Foreign Affairs; Assistant Secretary",male
Hongo,Motoji,M.,Japan,"Secretary, Department of Commerce and Industry; Assistant Secretary",male
Kitadai,Shigehiro,M.,Japan,"Secretary, Bank of Japan; Assistant Secretary",male
Isono,Yuzo,M.,Japan,"Attaché of Embassy, Paris; Assistant Secretary",male
Sumino,Ginjiro,M.,Japan,"Secretary of Embassy, Paris; Assistant Secretary",male
Miyazaki,Akira,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Yamada,Hisanari,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Shima,Shigenobu,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Katsube,Toshio,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Asakai,Koichiro,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Ishiguro,Shiro,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Toko,Takezo,M.,Japan,"Attaché of Embassy, London; Assistant Secretary",male
Mori,Takashi,M.,Japan,"Second Secretary of Embassy, London; Assistant Secretary",male
Nagai,Alexander,M.,Japan,"Commercial Secretary of Embassy, Berlin; Assistant Secretary",male
Matsumoto,Shunichi,M.,Japan,"Second Secretary of Embassy, Paris; Assistant Secretary",male
Okubo,Toshitaka,M.,Japan,"Second Secretary of Embassy, Brussels; Assistant Secretary",male
Ito,Hachiro,M.,Japan,"Technical Expert, Department of Finance; Assistant Secretary",male
Ide,Masataka,M.,Japan,"Secretary, Department of Agriculture and Forestry; Assistant Secretary",male
Yoneda,Fujio,M.,Japan,"Secretary, Department of Communications; Assistant Secretary",male
Yamamoto,Kumaichi,M.,Japan,"Second Secretary of Embassy, London; Assistant Secretary",male
Salnais,Voldemaras,S. E. M.,Latvia,Minister for Foreign Affairs; President of the delegation; Delegate,male
Zarine,Charles,S. E. M.,Latvia,Envoy Extraordinary and Minister Plenipotentiary; Delegate,male
Seja,Ludwigs,M.,Latvia,Consul-General; Chargé d’Affaires in London; Delegate,male
Munters,Wilhelm,M.,Latvia,"Minister Plenipotentiary; Director, Administrative and Legal Department, MFA; Delegate",male
Kalnozols,Paul,M.,Latvia,"Director, Department of Commerce and Industry, Ministry of Finance; Delegate",male
Ekis,Ludwig,M.,Latvia,"Minister Plenipotentiary; Head, Occidental Section, MFA; Delegate",male
Zolmanis,Emil,M.,Latvia,Agricultural Attaché in London; Delegate,male
Lerche,G.,M.,Latvia,First Secretary of the Latvian Legation in London; Secretary of the Delegation,male
Ansevics,T.,M.,Latvia,Secretary of the Delegation,male
Grimes,Louis A.,M.,Liberia,Secretary of State of Liberia; Delegate,male
de Lynden,R. A.,Baron,Liberia,In charge of the Liberian Legation in London; Delegate,male
Zaunius,Dovas,Dr.,Lithuania,Minister for Foreign Affairs; President of the delegation,male
Sidzikauskas,V.,S. E. M.,Lithuania,Minister of Lithuania in London; Delegate,male
Indrisiunas,Julius,M.,Lithuania,"Secretary-General, Ministry of Finance; Delegate",male
Dobkevicius,Jonas,M.,Lithuania,"Former Minister of Finance; Chairman, Chamber of Commerce (Kaunas); Delegate",male
Kuzminskas,Stasys,M.,Lithuania,"Director, Economic Section, MFA; Delegate",male
Norkaitis,Jonas,M.,Lithuania,"Director, Trade Department, Ministry of Finance; Delegate",male
Kajeckas,Juozas,M.,Lithuania,First Secretary of the Lithuanian Legation in London; Secretary of the Delegation,male
Bech,Joseph,S. E. M.,Luxembourg,Minister of State; Prime Minister; Minister for Foreign Affairs; Delegate,male
Dupong,Pierre,M.,Luxembourg,Minister of Finance; Delegate,male
Meyer,Aloyse,M.,Luxembourg,President of the Chamber of Commerce; President of the International Steel Combine; Delegate,male
Wehrer,Albert,M.,Luxembourg,Doctor of Law; Government Adviser; Substitute Delegate,male
Clasen,Bernard,M.,Luxembourg,Consul-General in Great Britain; Substitute Delegate,male
Pani,Alberto J.,S. E. M.,Mexico,Minister of Finance; President of the delegation,male
Gonzalez-Roa,F.,S. E. M.,Mexico,Vice-President; Ambassador to the United States of America; Delegate,male
Gómez,Marte R.,M.,Mexico,Senator; Former Minister of Agriculture; Delegate,male
Suarez,Eduardo,M.,Mexico,Legal Adviser to the Mexican Foreign Office; Delegate,male
Arroyo,Carlos,M.,Mexico,Chairman of the Tariff Commission; Technical Adviser,male
Pérez-Duarte,C.,M.,Mexico,"Technical Adviser on Mines and Metals, Ministry of Finance",male
Chavero,Alfredo,M.,Mexico,Member of the National Banking Commission; Technical Adviser,male
Castro Leal,A.,M.,Mexico,Counsellor of Legation; Barrister-at-Law; Secretary-General,male
de la Torre,Ignacio,M.,Mexico,First Secretary of Legation; Private Secretary to the President of the delegation,male
Pani,Alberto R.,M.,Mexico,Attaché of Legation; Attaché to the delegation,male
Perez-Triana,Eduardo,M.,Nicaragua,Minister Resident in London; Delegate,male
Alonso-Rochi,Alejandro,M.,Nicaragua,Chargé d’Affaires; Delegate,male
Baum,Léon,M.,Nicaragua,Counsellor to the Legation; Delegate,male
Sonne,H. Chr.,M.,Nicaragua,Delegate,male
Tonkonogy,A. G.,M.,Nicaragua,Adviser,male
Mowinckel,Joh. L.,S. E. M.,Norway,Prime Minister; Minister for Foreign Affairs; President of the delegation; Delegate,male
Five,Haakon,S. E. M.,Norway,Minister of Agriculture; Delegate,male
Vogt,Paul Benjamin,S. E. M.,Norway,Envoy Extraordinary and Minister Plenipotentiary in London; Delegate,male
Andvord,Rolf,M.,Norway,"Head, League of Nations Section, MFA; Delegate",male
Fearnley,Thomas,M.,Norway,Shipowner; Delegate,male
Jahn,Gunnar,M.,Norway,"Director, Statistical Bureau of Norway; Delegate",male
Rygg,Nicolai,M.,Norway,"Governor, Bank of Norway; Delegate",male
Andersen,Rolf,M.,Norway,Secretary of the Royal Norwegian Legation; Expert,male
Eriksen,Alf,M.,Norway,"Chief of Section, Bank of Norway; Expert",male
Petersen,Erling,M.,Norway,"Secretary, Statistical Bureau of Norway; Secretary",male
Forbes,G. W.,The Right Honourable,New Zealand,Prime Minister; Delegate,male
Masters,R.,The Hon.,New Zealand,"Minister of Education, Industries and Commerce; Delegate",male
Wilford,Thomas M.,Sir,New Zealand,High Commissioner in London; Substitute,male
Rodda,G. C.,Mr.,New Zealand,Assistant Secretary to the Treasury; Expert,male
Tocker,A. H.,Professor,New Zealand,Expert (Canterbury College),male
Campbell,R. M.,Dr.,New Zealand,Expert,male
Jeffery,C. A.,Mr.,New Zealand,Private Secretary to the Prime Minister; Expert,male
Espinoza,Rogelio,Dr.,Paraguay,Chargé d’Affaires of Paraguay in London; Delegate,male
Binder,B.,M.,Paraguay,Technical Adviser,male
Colijn,H.,S. E. M.,Netherlands,Minister of State; Prime Minister; Minister for the Colonies; Head of Delegation,male
Reyseger,W.,M.,Netherlands,Secretary to the Head of the Delegation,male
Trip,L. J. A.,M.,Netherlands,President of the Netherlands Bank; Delegate,male
Nederbragt,J. A.,M.,Netherlands,"Chief, Economic and Consular Department, MFA; Delegate",male
Hirschfeld,H. M.,M.,Netherlands,Director-General of Trade and Industry; Delegate,male
Jacob,F. B.’s,M.,Netherlands,Commercial Attaché to the Dutch Legation in London; Delegate,male
Berger,H. C. L. E.,Prof. Dr.,Netherlands,"Professor, Utrecht University; Delegate",male
van den Broek,J.,M.,Netherlands,"Director, Billiton Maatschappij; Delegate",male
Gerritzen,B.,M.,Netherlands,Agricultural Adviser to the Netherlands Legation in London; Delegate,male
Hartman,A. W.,M.,Netherlands,Chairman of the V.I.S.O.C.O.; Delegate,male
Hudig,D.,M.,Netherlands,"Director, Koninklijke Nederlandsche Stoomboot Maatschappij; Delegate",male
Goegejan,,M.,Netherlands,Chairman of the B.E.N.I.S.O.; Delegate,male
Louwes,S. L.,M.,Netherlands,Agricultural Adviser to the Netherlands Government; Delegate,male
van Poeteren,N.,M.,Netherlands,Head of the Phytopathological Service; Delegate,male
Beyen,J. W.,M.,Netherlands,"Director, Rotterdamsche Bankvereeniging; Delegate",male
Tudela,Francisco,S. E. M.,Peru,Former Ambassador; Former Minister for Finance; Chairman of the delegation; Delegate,male
Althaus,Emilio,M.,Peru,General Consul in Paris; Delegate,male
Gibson,Carlos,M.,Peru,Engineer; Delegate,male
de Lavalle,José Antonio,M.,Peru,Delegate,male
Ferreyros,Alfredo,M.,Peru,Adviser,male
Samiy,Anayatollah Khan,S. E.,Persia,Head of the delegation; Minister of Persia in Berlin,male
Noury Esfandiary,Fatollah Khan,,Persia,Chargé d’Affaires of Persia in London,male
Samii,Saïd Khan,,Persia,Under-Treasurer-General of Persia,male
Entezam,Nasrollah Khan,,Persia,First Secretary of Legation in London,male
Ghodse,Mirza Hossein Khan,,Persia,Delegate,male
Ye Kta,Abdol-Ahad Khan,,Persia,Delegate,male
Gulbenkian,Nubar S.,M.,Persia,Delegate,male
Daryush,Ali Akbar Khan,,Persia,Delegate,male
Clavier,,M.,Persia,Administrator of the Income Tax; Economic Adviser to the Persian Government,male
Delcorde,Raoul,M.,Persia,Chief Inspector of Customs at Teheran,male
Koc,Adam,S. E. M.,Poland,"Under-Secretary of State, Ministry of Finance; President of the delegation; Delegate",male
Sokolowski,Mieczyslaw,M.,Poland,"Director of Department, Ministry of Industry and Commerce; Delegate",male
Rose,Adam,M.,Poland,"Director of Department, Ministry of Agriculture; Delegate",male
Floyar-Rajchman,Henryk,M.,Poland,"Director of Department, Ministry of Finance; Delegate",male
Baczynski,Wlodzimierz,M.,Poland,"Director of Department, Ministry of Finance; Delegate",male
Roman,Antoni,M.,Poland,"Economic Adviser, Ministry for Foreign Affairs; Delegate",male
Nowak,Jerzy,M.,Poland,"Assistant Director of Department, Ministry of Finance; Delegate",male
Baranski,Léon,M.,Poland,"Director, Bank of Poland; Delegate",male
Wszelaki,Jan,M.,Poland,First Secretary of the Polish Embassy (London); Substitute Delegate,male
Orlowski,Leon,M.,Poland,First Secretary of the Polish Embassy (London); Substitute Delegate,male
Geppert,Tadeusz,M.,Poland,Commercial Counsellor (London); Substitute Delegate,male
Hulanicki,Witold,M.,Poland,Acting Consul-General (London); Substitute Delegate,male
Domaniewski,Wieslaw,M.,Poland,"Financial Counsellor, Embassy of Poland in Paris; Substitute Delegate",male
Lychowski,Tadeusz,Dr.,Poland,Councillor at the Ministry of Industry and Commerce; Substitute Delegate,male
Mohl,Waclaw,M.,Poland,Ministry of Finance; Substitute Delegate,male
Rudzinski,Marjan,M.,Poland,Member of Parliament; Expert,male
Fajans,Waclaw,M.,Poland,"President, Union of Banks of Poland; Expert",male
Lipinski,Edward,Prof.,Poland,"Director, Institute for the Study of Price Movements and Research; Expert",male
Zoltowski,Janusz,M.,Poland,Secretary-General of the Delegation,male
Caeiro da Matta,José,Dr.,Portugal,Minister for Foreign Affairs; Deputy Judge at the Permanent Court of International Justice; Head of the delegation,male
Ulrich,Ruy Ennes,Dr.,Portugal,Portuguese Ambassador in London; Delegate,male
de Vasconcellos,Augusto,Dr.,Portugal,Permanent Delegate to the League of Nations; former President of the Council and MFA; Delegate,male
Camacho Rodriguez,Inocencio,Dr.,Portugal,"Governor, Bank of Portugal; former Minister of Finance; Technical Delegate",male
Fernandes,Thomas,Colonel,Portugal,Former Minister for the Colonies; Technical Delegate,male
Ferreira da Costa,José,Dr.,Portugal,"Professor, Institute of Economic Science; Technical Delegate",male
Pequito Rebelo,José,Dr.,Portugal,Delegate of the Portuguese Government to the International Institute of Agriculture; Technical Delegate,male
de Lima Santos,José,M.,Portugal,Councillor to the Portuguese Legation in Paris; Technical Delegate,male
Mendes Leal,Augusto,Dr.,Portugal,First Secretary of Legation; Secretary of the Delegation,male
Rato Potier,Antonio,M.,Portugal,Attaché of Legation; Secretary of the Delegation,male
de Mendonça,Joao,Dr.,Portugal,Third Secretary of Legation; Private Secretary to H.E. the Minister for Foreign Affairs,male
Machado,Eduardo,Dr.,Portugal,Attaché of Legation; Private Secretary to H.E. the Minister for Foreign Affairs,male
Titulesco,N.,S. E. M.,Romania,Minister for Foreign Affairs; President of the delegation; Delegate,male
Madgearu,V.,S. E. M.,Romania,Minister of Finance; Delegate,male
Mihalache,I.,S. E. M.,Romania,Minister of State; former Minister of Agriculture and Estates; Delegate,male
Radulesco,Savel,M.,Romania,"Minister Plenipotentiary; Under-Secretary of State, MFA; Substitute",male
Zeuceano,Al.,M.,Romania,Minister Plenipotentiary; Financial Delegate of the Romanian Government in Paris; Substitute,male
Tilea,V.,M.,Romania,Under-Secretary of State in the Prime Minister’s Office; Substitute,male
Chelmegeanu,M.,M.,Romania,"Under-Secretary of State, Ministry of Agriculture and Estates; Substitute",male
Serban,M.,M.,Romania,Under-Secretary of State; Substitute,male
Crishan,G.,M.,Romania,Under-Secretary of State; Substitute,male
Neculcea,,S. E. M.,Romania,Minister Plenipotentiary; Expert,male
Badulesco,V.,M.,Romania,Expert,male
Christu,I.,M.,Romania,Expert,male
Ene,Ernest,M.,Romania,Expert,male
Marian,E.,M.,Romania,Expert,male
Penescu,,M.,Romania,Expert,male
Popesco,César,M.,Romania,Expert,male
Buzdugan,D.,M.,Romania,First Secretary of Legation; Secretary of the Delegation,male
Jordan,D.,M.,Romania,Secretary of the Delegation,male
Hillard,R.,M.,Romania,Secretary of the Delegation,male
Cotaru,Plutard,M.,Romania,"Member, Office d’études (Bucharest); Secretary of the Delegation",male
Priboyanu,Emil,M.,Romania,"Member, Romanian Financial Delegation in Paris; Secretary of the Delegation",male
Dawson,Samuel Jorge,Don,El Salvador,Consul-General in London; Delegate,male
Tonkonogy,A. G.,Don,El Salvador,Barrister; Technical adviser ad honorem,male
Subarn Sompati,Phya,S. E.,Siam,Siamese Minister in London; Delegate,male
Phra Bovera,Incha,M.,Siam,First Secretary of the Siamese Legation in London; Substitute Delegate,male
Sandler,R. J.,S. E. M.,Sweden,Minister for Foreign Affairs; Delegate,male
Wigforss,E. J.,S. E. M.,Sweden,Minister of Finance; Delegate,male
Palmstierna,E. K.,Baron,Sweden,Envoy Extraordinary and Minister Plenipotentiary in London; Delegate,male
Cassel,K. G.,M.,Sweden,"Doctor of Philosophy; Professor, Private University of Stockholm; Delegate",male
Insulander,P. E. G.,M.,Sweden,Director-General; Chief of the Royal Board of Agriculture; Delegate,male
Lundvik,V. G.,M.,Sweden,"Former Minister for Commerce; Managing Director, Federation of Swedish Industries; Member, League Economic Committee; Delegate",male
Richert,A. G.,M.,Sweden,"Director of the Commercial Department, MFA; Delegate",male
Rooth,I.,M.,Sweden,"Governor, Bank of Sweden; Delegate",male
Wijkman,P. G. A.,M.,Sweden,"First Secretary, Swedish MFA; Secretary",male
Sohlman,R. Reson,M.,Sweden,"Second Secretary, Swedish MFA; Secretary",male
Thorsing,O.,M.,Sweden,Press Officer; Secretary of the Swedish Legation in London,male
Schulthess,Ed.,S. E. M.,Switzerland,President of the Confederation; Head of the Federal Department of Public Economy; Head of Delegation,male
Stucki,Walter,S. E. M.,Switzerland,"Envoy Extraordinary and Minister Plenipotentiary; Director, Division for Commerce, Federal Department for Public Economy; President, League Economic Committee; Substitute to Head of Delegation",male
Sarasin,Alfred,M.,Switzerland,"President of the Governing Board, Swiss National Bank; Delegate",male
Bachmann,G.,M.,Switzerland,"President of the Managing Board, Swiss National Bank; Delegate",male
Rossy,Paul,M.,Switzerland,"Director, Swiss National Bank; Delegate",male
Laur,Ernest,Prof.,Switzerland,"Director, Swiss Farmers’ Union; Delegate",male
Borel,André,Dr.,Switzerland,"Vice-Director, Swiss Farmers’ Union; Delegate",male
Wetter,Ernest,M.,Switzerland,"Vice-President, Swiss Union of Commerce and Industry; Deputy to the National Council; Delegate",male
Dapples,L.,M.,Switzerland,"President, Nestlé & Anglo-Swiss Condensed Milk Company; Delegate",male
Bindschedler,R.,M.,Switzerland,Delegate to the Governing Board of Crédit Suisse; Substitute/Expert,male
Homberger,Henri,M.,Switzerland,"Secretary, Swiss Union of Commerce and Industry; Substitute/Expert",male
Jaberg,P.,M.,Switzerland,"Joint General Manager, Union de Banques Suisses; Substitute/Expert",male
Rufenacht,,Dr.,Switzerland,Secretary at the Swiss Legation in London; Substitute/Expert,male
Parodi,André,M.,Switzerland,"Secretary, Federal Division of Commerce; Secretary",male
Beneš,Edvard,Dr.,Czechoslovakia,Minister for Foreign Affairs; Head of the delegation,male
Masaryk,Jan,S. E. M.,Czechoslovakia,Envoy Extraordinary and Minister Plenipotentiary in London; Deputy for H.E. Beneš,male
Pospíšil,Vilém,M.,Czechoslovakia,"Governor, National Bank of Czechoslovakia; Delegate",male
Dvoráček,Jan,S. E. M.,Czechoslovakia,"Former Minister of Commerce; Director, Živnostenská Banka; Delegate",male
Friedmann,Julius,M.,Czechoslovakia,"Envoy Extraordinary and Minister Plenipotentiary; Head, Economic Section, MFA; Member of Delegation",male
Peroutka,František,Dr.,Czechoslovakia,"Former Minister of Commerce; Head of Section, Ministry of Commerce; Member of Delegation",male
Basch,Antonín,M.,Czechoslovakia,"Director, National Bank of Czechoslovakia; Member of Delegation",male
Martinec,Emil,M.,Czechoslovakia,"Head of Section, Ministry of Finance; Member of Delegation",male
Hanošek,Bohumír,M.,Czechoslovakia,"Head, Commercial Policy Department, Ministry of Agriculture; Member of Delegation",male
name,given_name,title,country,description,male
Kucera,Vladimir,M.,Czechoslovakia,Chief of the Cabinet of the Minister for Foreign Affairs,male
Nosek,Vladimir,M.,Czechoslovakia,"Counsellor, Ministry for Foreign Affairs",male
Radimsky,Ladislas,M.,Czechoslovakia,Ministry for Foreign Affairs,male
Havlas,Viktor,M.,Czechoslovakia,Ministry of Commerce,male
Kose,Jaroslav,M.,Czechoslovakia,"Head of Department, Ministry for Agriculture",male
Stangler,Alois,M.,Czechoslovakia,"Departmental Adviser, Ministry for Foreign Affairs",male
Rüstü,Tevfik,S. E. Bey,Turkey,Minister for Foreign Affairs; President of the delegation,male
Celai,,"""S. E. Bey""",Turkey,Minister for Economic Affairs; acted as President in absence of Tevfik Rüstü,male
Münir,," ""S. E. Bey""",Turkey,Ambassador in London; Delegate,male
Rifki,Falih,M. Bey,Turkey,Member of the Great National Assembly for Bolu; Adviser,male
Adil,,Bey,Turkey,"Under-Secretary of State, Ministry of Customs and Monopolies; Adviser",male
Salahattin,,Bey,Turkey,Director-General of the Central Bank; Adviser,male
Namik Zeki,,Bey,Turkey,Financial Adviser to the Central Bank; Adviser,male
Cezmi,,Bey,Turkey,"Director-General, Ministry of Finance; Adviser",male
Bedi,,Bey,Turkey,"Director-General, Ministry for Foreign Affairs; Adviser",male
Sami,,Bey,Turkey,"Chief Inspector, Commercial Bank of Turkey; Adviser",male
Refik Amir,,Bey,Turkey,"Consul-General; Head of Cabinet, Ministry for Foreign Affairs; Adviser",male
Kurtoglu Faik,,Bey,Turkey,"Commercial Attaché at Turkish Embassy, London; Adviser",male
Halit Nazmi,,Bey,Turkey,Inspector of Finance; Adviser,male
Huldi,,Bey,Turkey,Commercial Bank of Turkey; Adviser,male
Süleyman Hikmet,,Bey,Turkey,Central Bank; Adviser,male
Riza Hâlis,,Bey,Turkey,Deputy Director of the Agricultural Bank; Adviser,male
Muvaffak,,Bey,Turkey,"General Manager, Anatolia Agency; Adviser",male
Tugrul,Izzettin,M. Bey,Turkey,Consul; Secretary to the delegation,male
Muvaffak,Nermin,Mlle,Turkey,Interpreter,female
Litvinoff,Maxim,M.,USSR,People’s Commissary for Foreign Affairs; President of the delegation,male
Mejlauk,Valérie,M.,USSR,"Vice-President, Commission for the State Plan",male
Maisky,Jean,M.,USSR,Ambassador in London,male
Ozerski,Alexandre,M.,USSR,Deputy Commissary for Foreign Trade,male
Divilkovsky,Ivan,M.,USSR,Secretary-General of the delegation,male
Cahen,S.,M.,USSR,Expert,male
Rosenblum,Boris,M.,USSR,Expert,male
Gurevich,A.,M.,USSR,Expert,male
Simonoff,Y. G.,M.,USSR,Expert,male
Kissin,Abraham,M.,USSR,Expert,male
Kharitonov,Michel,M.,USSR,Expert,male
Litvinoff,Ivy,Mme,USSR,Secretary to the delegation,female
Tolokonski,Leonid,M.,USSR,In charge of Press matters,male
Cosio,Pedro,S. E. M.,Uruguay,Envoy Extraordinary and Minister Plenipotentiary in London; appointed Minister of Finance,male
Guani,Alberto,Dr.,Uruguay,Envoy Extraordinary and Minister Plenipotentiary in Paris,male
Urtubey,Alberto,M.,Uruguay,Substitute Delegate,male
MacEachen,Roberto,Dr.,Uruguay,"Counsellor of Legation, London; Substitute Delegate",male
Madlener,Godofredo,M.,Uruguay,"Financial Attaché, Uruguayan Legation in London; Substitute Delegate",male
Rey-Alvarez,Gustavo,M.,Uruguay,"Secretary of Legation, London; Secretary",male
Escalante,Diogenes,Dr.,Venezuela,Envoy Extraordinary and Minister Plenipotentiary in Great Britain,male
Aguilar,Oscar,Dr.,Venezuela,"First Secretary, Legation of Venezuela in London",male
Yevtitch,B.," ""S. E. M.""",Yugoslavia,Minister for Foreign Affairs; Chief of the delegation,male
Diouritch,G.," ""S. E. M.""",Yugoslavia,Yugoslav Minister in London; Delegate,male
Mohoritch,M.," ""S. E. M.""",Yugoslavia,Former Minister of Commerce and Industry; Delegate,male
âeeerov,Slavko,M.,Yugoslavia,Member of Parliament; Substitute Delegate,male
Pilja,,M.,Yugoslavia,"Chief of Department, Ministry of Commerce and Industry; Expert",male
Mikitch,,M.,Yugoslavia,"Adviser, Ministry of Finance; Expert",male
Yovanovitch,N.,M.,Yugoslavia,Ministry for Foreign Affairs; Secretary,male
Markovitch,B.,M.,Yugoslavia,Ministry for Foreign Affairs; Secretary,male