page,family_name,given_name,gender,nationality,role
2,Boutros-Ghali,Boutros,male,Egypt,UN Secretary General
2,Bush,George,male,USA,State leader
2,Castro,Fidel,male,Cuba,State leader
2,Gore,Al,male,USA,National public servant
2,Mulroney,Brian,male,Canada,National public servant
3,Castro,Fidel,male,Cuba,State leader
4,Levine,Michael,male,,other
28,Gates,Bill,male,USA,Business actor
28,Soros,George,male,USA,Business actor
28,Turner,Ted,male,USA,Business actor
50,Strong,Mary,female,Canada,Family
51,Strong,Frederick Milton,male,Canada,Family
51,Strong,Frederick,male,Canada,Family
51,Strong,Ida,female,Canada,Family
51,Strong,Mary,female,Canada,Family
51,Strong,Mary,female,Canada,Family
51,Wallace,Mr,male,Canada,other
52,Strong,Frederick Milton,male,Canada,Family
53,Heapy,Clarence ,male,Canada,other
54,Heapy,Clarence ,male,Canada,other
54,Wallace,Mr,male,Canada,other
54,Woodsworth,J.S.,male,Canada,National public servant
55,Heapy,Clarence ,male,Canada,other
55,Strong,Frederick Milton,male,Canada,Family
60,Strong,Frederick Milton,male,Canada,Family
62,Scott,Alan,male,Scotland,Business actor
63,Anikiloo,,male,Canadian arctic,Inuit
63,Apik,,male,Canadian arctic,Inuit
63,Freuchen,Peter,male,Denmark,Explorer
63,Jacqueline,,female,Canadian arctic,Inuit
63,Scott,Alan,male,Scotland,Business actor
64,Ghandi,Indira,female,India,State leader
65,Apik,,male,Canadian arctic,Inuit
65,Daisy,,female,Canadian arctic,"""Wife of"""
66,Lacroix,Marc,male,Canada,Religious leader
66,Michea,Jean Philippe,male,France,Social scientist
67,Apik,,male,Canadian arctic,Inuit
67,Freuchen,Peter,male,Denmark,Explorer
69,Richardson,W.A. (Bill),male,USA,Business actor
70,Richardson,W.A. (Bill),male,USA,Business actor
71,McColl,Mary,female,Canada,"""Wife of"""
71,McColl,John,male,Canada,Business actor
72,Martin Sr,Paul,male,Canada,National public servant
72,McColl,Mary,female,Canada,"""Wife of"""
72,Monod,Noel,male,France,UN official
73,Bernadotte,Count Folke,male,Sweden,Diplomat
73,Gromyko,Andrei,male,Soviet Union,Diplomat
73,Molotov,Vyacheslav,male,Soviet Union,National public servant
73,Rockefeller,David,male,USA,Banker
74,Austin,Warren,male,Canada,Diplomat
74,Green,John,male,Canada,Journalist
74,Gromyko,Andrei,male,Soviet Union,Diplomat
74,Pearson,Lester B.,male,Canada,State leader
74,Vyshinsky,Andrei,male,Soviet Union,Diplomat
76,Baker,R.D.,male,Canada,Business actor
76,Fowler,Noel,male,UK,Business actor
77,Cairns,Ethel,female,Canada,Secretary
77,Dunkley,Charlie,male,Canada,Business actor
77,Gallagher,Jack,male,Canada,Business actor
77,Hodgson,Swift,male,Canada,Business actor
77,Strong,Pauline,female,Canada,Strong's wife
78,Gallagher,Jack,male,Canada,Business actor
78,Strong,Pauline,female,Canada,Strong's wife
78,Wielengen,Betsy van,female,Netherlands,"""Wife of"""
78,Wielengen,Gus van,male,Netherlands,Business actor
79,Gallagher,Jack,male,Canada,Business actor
79,Heapy,Clarence ,male,Canada,other
79,Kenyatta,Jomo,male,Kenya,State leader
79,McCarthy,Joseph,male,USA,National public servant
79,Strong,Mary,female,Canada,Family
79,Strong,Pauline,female,Canada,Strong's wife
79,Strong,Pauline,female,Canada,Strong's wife
80,Kenyatta,Jomo,male,Kenya,State leader
82,Kenyatta,Jomo,male,Kenya,State leader
87,Brundage,Donald,male,Canada,YMCA
87,Kingersley,Bill,male,Canada,YMCA
87,Magwood,John,male,Canada,YMCA
87,Torrance,Bob,male,Canada,YMCA
87,Vipond,Les ,male,Canada,YMCA
88,Hentsch,Leonard,male,Switzerland,Banker
88,Kidd,J. Roby,male,Canada,other
89,Brunie,Henri,male,USA,Business actor
89,Gallagher,Jack,male,Canada,Business actor
89,Heim,Robert,male,,Business actor
89,Nickle,Carl,male,Canada,National public servant
89,Smith,Arthur,male,Canada,National public servant
89,Wolfensohn,James,male,USA,World Bank
90,Chretien,Jean,male,Canada,National public servant
90,Galvin,Ed,male,Canada,Business actor
90,Lowery,Jack,male,Canada,Religious leader
90,Martin Jr,Paul,male,Canada,National public servant
90,Strong,Fred,male,Canada,Family
90,Strong,Maureen,female,Canada,Family
90,Strong,Mary Anne,female,Canada,Family
90,Strong,Ken,female,Canada,Family
90,Strong,Alice,female,Canada,Family
90,Strong,Pauline,female,Canada,Strong's wife
91,Rae,W. Harold,male,Canada,Business actor
91,Thompson,Peter,male,Canada,Business actor
91,Thompson,Nesbitt,male,Canada,Business actor
92,Rae,W. Harold,male,Canada,Business actor
92,Strong,Pauline,female,Canada,Strong's wife
92,Thompson,Peter,male,Canada,Business actor
93,Rae,W. Harold,male,Canada,Business actor
93,Thompson,Peter,male,Canada,Business actor
94,Strong,Pauline,female,Canada,Strong's wife
94,Thompson,Peter,male,Canada,Business actor
95,Lesage,Jean,male,Canada,National public servant
95,Levesque,Rene,male,Canada,National public servant
95,Woodyatt,J. B.,male,Canada,Business actor
96,Bennett,W.A.C.,male,Canada,National public servant
96,Keenleyside,Hugh,male,Canada,Business actor
97,Rae,W. Harold,male,Canada,Business actor
97,Turner,William,male,Canada,Business actor
97,Volcker,Paul,male,USA,Business actor
97,Wolfensohn,James,male,USA,World Bank
98,Martin Jr,Paul,male,Canada,National public servant
98,Turner,William,male,Canada,Business actor
99,Blakeney,Allan,male,Canada,National public servant
99,Coutts,Jim,male,Canada,National public servant
99,Crowe,Marshall,male,Canada,Business actor
99,Davis,Bill,male,Canada,National public servant
99,Desmarais,Paul,male,Canada,Business actor
99,Gordon,Walter,male,Canada,National public servant
99,Hampson,Tony,male,Canada,Business actor
99,Lougheed,Peter,male,Canada,National public servant
99,Ryan,Claude,male,Canada,National public servant
99,Trudeau,Pierre,male,Canada,State leader
100,Hampson,Tony,male,Canada,Business actor
100,Martin Sr,Paul,male,Canada,National public servant
100,Moran,Herb,male,Canada,National public servant
100,Pearson,Lester B.,male,Canada,State leader
100,Ritchie,Ed,male,Canada,National public servant
102,Moran,Herb,male,Canada,National public servant
102,Strong,Pauline,female,Canada,Strong's wife
102,Towe,Peter,male,Canada,National public servant
104,Cadieux,Marcel,male,Canada,National public servant
104,Pearson,Lester B.,male,Canada,State leader
105,Bryce,Bob,male,Canada,National public servant
105,Hudon,Denis,male,Canada,World Bank
105,Sharp,Mitchell,male,Canada,National public servant
106,Hoffman,Paul,male,USA,UN official
106,McNamara,Robert,male,USA,World Bank
106,Woods,George,male,USA,World Bank
107,Gerin,Jacques,male,Canada,National public servant
107,Pearson,Lester B.,male,Canada,State leader
107,Trudeau,Pierre,male,Canada,State leader
108,Cohen,Andrew,male,UK,National public servant
108,Gaud,Bill,male,USA,National public servant
108,Martin,Ed,male,USA,Diplomat
109,Perinbam,Lewis,male,Canada,World Bank
110,Cadieux,Marcel,male,Canada,National public servant
110,Coutts,Jim,male,Canada,National public servant
110,Pearson,Lester B.,male,Canada,State leader
111,Cadieux,Marcel,male,Canada,National public servant
111,Hopper,David ,male,Canada,Business actor
111,Martin Sr,Paul,male,Canada,National public servant
111,Pearson,Lester B.,male,Canada,State leader
111,Plumptre,Wynne,male,Canada,National public servant
111,Sharp,Mitchell,male,Canada,National public servant
112,Martin Sr,Paul,male,Canada,National public servant
112,Sharp,Mitchell,male,Canada,National public servant
112,Ward,Barbara,female,UK,Social scientist
113,Diefenbaker,John,male,Canada,National public servant
113,Dugal,Jeanette,female,Canada,Secretary
113,Sharp,Mitchell,male,Canada,National public servant
113,Trudeau,Pierre,male,Canada,State leader
116,Carson,Rachel,female,USA,Activist
116,Peccei,Aurelio,male,Italy,Business actor
117,Forrester,Jay,male,USA,Scientist
117,Meadows,Dennis,male,USA,Scientist
117,Peccei,Aurelio,male,Italy,Business actor
118,Astrom,Sverker,male,Sweden,Diplomat
118,de Seynes,Philippe,male,France,UN official
118,Herter Jr,Christian,male,USA,Diplomat
118,Kines,Wayne,male,Canada,UN official
118,U Thant,,male,Burma,UN official
120,Kunin,Vladimir,male,Soviet Union,Scientist
121,Almeida Ozori,Miguel,male,Brazil,Diplomat
121,Johnson,Keith,male,Jamaica,Diplomat
122,Ward,Barbara,female,UK,Social scientist
123,Corea,Gamani,male,Sri lanka,Social scientist
123,Iglesias,Enrique,male,Uruguay,Social scientist
123,Prebisch,Raul,male,Argentina,Social scientist
123,ul Haq,Mahbub,male,Pakistan,Social scientist
124,Corea,Gamani,male,Sri lanka,Social scientist
124,MacNeill,Jim,male,Canada,National public servant
124,Runnals,David,male,Canada,INGO leader
124,ul Haq,Mahbub,male,Pakistan,Social scientist
125,Corea,Gamani,male,Sri lanka,Social scientist
125,Dubos,Rene,male,USA,Scientist
125,ul Haq,Mahbub,male,Pakistan,Social scientist
125,Ward,Barbara,female,UK,Social scientist
126,Dubos,Rene,male,USA,Scientist
126,Ghandi,Indira,female,India,State leader
126,Ward,Barbara,female,UK,Social scientist
127,Ghandi,Indira,female,India,State leader
127,Parthasarthy,G.P.,male,India,Diplomat
128,Ghandi,Indira,female,India,State leader
129,Mead,Margaret,female,USA,Social scientist
129,Medawar,Jean,female,UK,"""Wife of"""
129,Medawar,Peter,male,UK,Scientist
129,Roning,Chester,male,Canada,Diplomat
129,Ward,Barbara,female,UK,Social scientist
130,Wolfensohn,James,male,USA,World Bank
131,Cordovez,Diego,male,Eduador,Diplomat
131,Kunin,Mu,male,China,Diplomat
131,Tolba,Mostafa,male,Egypt,UN official
135,Jowi,Odero,male,Kenya,Diplomat
135,Mungai,Njoroge,male,Kenya,National public servant
136,Trudeau,Pierre,male,Canada,State leader
137,Kenyatta,Jomo,male,Kenya,State leader
137,U Thant,,male,Burma,UN official
137,Waldheim,Kurt,male,Austria,UN official
138,Kenyatta,Jomo,male,Kenya,State leader
138,Tolba,Mostafa,male,Egypt,UN official
139,Tolba,Mostafa,male,Egypt,UN official
140,Austin,Jack,male,Canada,National public servant
140,Marstrand,Hanne,female,Denmark,Strong's wife
140,Strong,Pauline,female,Canada,Strong's wife
140,Trudeau,Pierre,male,Canada,State leader
141,Macdonald,Donald,male,Canada,National public servant
141,Pitfield,Michael,male,Canada,National public servant
141,Trudeau,Pierre,male,Canada,State leader
142,Mitchell,David,male,USA,Business actor
142,Saul,John Ralston,male,Canada,Activist
142,Trudeau,Pierre,male,Canada,State leader
142,Warburg,Siegmund,male,USA,Banker
143,Austin,Jack,male,Canada,National public servant
143,Clarkson,Adrienne,female,Canada,Journalist
143,Hopper,Wilbert,male,Canada,National public servant
143,Mitchell,David,male,USA,Business actor
143,Pitfield,Michael,male,Canada,National public servant
143,Saul,John Ralston,male,Canada,Activist
144,Axford,Don,male,Canada,Business actor
144,Bell,Joel,male,Canada,Business actor
144,Bowie,Douglas,male,Canada,Business actor
144,Godfrey,John,male,Canada,Business actor
144,Hopper,Wilbert,male,Canada,National public servant
144,Wolcott,Don,male,Canada,Business actor
145,Bowie,Douglas,male,Canada,Business actor
146,Chief Smallboy,n/a,male,Canada,Indigenous leader
146,Maathai,Wangari,female,Kenya,Activist
146,Marstrand,Hanne,female,Denmark,Strong's wife
147,Anderson,Robert O.,male,USA,Business actor
147,Hopper,Wilbert,male,Canada,National public servant
147,Hopper,David,male,Canada,National public servant
147,Marstrand,Hanne,female,Denmark,Strong's wife
147,Sharp,Mitchell,male,Canada,National public servant
147,Trudeau,Pierre,male,Canada,State leader
148,Mountbatten,Philip,male,UK,Royal
148,Ward,Barbara,female,UK,Social scientist
150,Trudeau,Pierre,male,Canada,State leader
150,Winter,Robert,male,Canada,National public servant
151,Coutts,Jim,male,Canada,National public servant
151,Davey,Keith,male,Canada,National public servant
151,Evans,John,male,Canada,National public servant
151,Peterson,Heather,female,Canada,National public servant
151,Trudeau,Pierre,male,Canada,State leader
152,Anderson,Doris,female,Canada,Journalist
152,O'Neill,Tip,male,USA,National public servant
152,Tsopolis,John,male,Canada,other
153,Strong,Pauline,female,Canada,Strong's wife
153,Trudeau,Pierre,male,Canada,State leader
153,Tsopolis,John,male,Canada,other
154,Martin Jr,Paul,male,Canada,National public servant
154,Nathanson,Paul,male,Canada,Business actor
154,Oduber,Daniel,male,Costa Rica,National public servant
154,Sarlos,Andy,male,Canada,Business actor
155,Marstrand,Hanne,female,Denmark,Strong's wife
155,Rotenberg,Kenneth,male,Canada,Business actor
156,Marstrand,Hanne,female,Denmark,Strong's wife
157,Ait-Laoussine,Nordine,male,Algeria,Business actor
157,Huff,Keith,male,,Business actor
157,Morton,Alistair,male,UK,Business actor
157,Parra,Frank,male,USA,Business actor
158,Holt,Bill,male,Canada,Business actor
158,Winston,Morton,male,Canada,Business actor
159,Hampson,Tony,male,Canada,National public servant
159,MacEachen,Allan,male,Canada,National public servant
159,Pitfield,Michael,male,Canada,National public servant
160,Austin,Jack,male,Canada,National public servant
160,Bell,Joel,male,Canada,Business actor
160,Bell,Joel,male,Canada,Business actor
160,Lamarre,Bernard,male,Canada,Business actor
160,Mulroney,Brian,male,Canada,National public servant
160,Stevens,Sinclair,male,Canada,National public servant
160,Trudeau,Pierre,male,Canada,State leader
161,Belzberg,Sam,male,Canada,Business actor
161,Crutchfield,Alex,male,USA,Business actor
161,Marstrand,Hanne,female,Denmark,Strong's wife
161,Williams,David ,male,Canada,Business actor
161,Wolfensohn,James,male,USA,World Bank
163,Rohmer,Roy,male,USA,National public servant
163,Williams,David ,male,Canada,Business actor
164,Fetzer,John,male,USA,Business actor
164,Marstrand,Hanne,female,Denmark,Strong's wife
164,Williams,David ,male,Canada,Business actor
168,Morse,Bradford,male,USA,UN official
169,La Muniere,Charles,male,France,UN official
169,Morse,Bradford,male,USA,UN official
170,Morse,Bradford,male,USA,UN official
171,Jansson,Kurt,male,Finland,UN official
171,Mengistu,Haile Maryam,male,Ethiopia,State leader
172,Mengistu,Haile Maryam,male,Ethiopia,State leader
173,al-Nemery,Gaafar Mohammed,male,Sudan,State leader
173,Deng,Francis,male,Sudan,UN official
174,al-Nemery,Gaafar Mohammed,male,Sudan,State leader
176,Belafonte,Harry,male,USA,Artist
176,Geldof,Bob,male,USA,Artist
176,Jackson,Michael,male,USA,Artist
177,Kragen,Kenneth,male,USA,Business actor
177,Moyers,Bill,male,USA,Business actor
177,Rogol,Marty,male,USA,Activist
178,Moyers,Bill,male,USA,Business actor
179,Morse,Bradford,male,USA,UN official
181,Marstrand,Hanne,female,Denmark,Strong's wife
